상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3110782,영등포시장역 4번,골목상권,-6.207573648201372,17.911251695443408,11.703678047242036,121015,0,-5.498832344049924,1.251766763638228,8,1.0,True,True
3110029,동대문역 1번,골목상권,-6.123440103531639,18.058222264161017,11.934782160629378,152478,0,-4.741766959230713,0.9216467359660278,9,1.0,True,True
3120189,강남역,발달상권,-5.927396115624255,29.397726713783207,23.470330598158952,15596784343,1,-6.322566639836882,0.41088070915428715,9,0.5,True,True
3110698,개웅초등학교(개웅중학교),골목상권,-5.571480330391877,17.93059589955677,12.359115569164894,233074,0,-2.0056258088257,1.343101687449644,9,1.0,True,True
3110930,서초동성당,골목상권,-5.274822623183681,21.369404069456223,16.094581446272542,9767600,0,-5.5763916724830915,0.48856629375167704,9,1.0,True,True
3110152,중곡어린이공원,골목상권,-5.044649988387787,17.66937046682294,12.624720478435153,303980,0,-3.2355512089703504,1.6993199365286815,9,1.0,True,True
3110736,독산119안전센터,골목상권,-4.676200259532967,17.95112505455612,13.274924795023152,582406,0,-3.1003609822242804,1.3822780828116912,9,1.0,True,True
3110628,신목동역,골목상권,-4.564332981219978,18.15253758708674,13.588204605866762,796676,0,-4.737667190205001,0.7437835811080664,9,1.0,True,True
3110357,가오리역 1번,골목상권,-4.505014354746695,17.77576670230496,13.270752347558265,579981,0,-3.721321503880448,1.3184504349586688,8,1.0,True,True
3120155,총신대학교,발달상권,-4.4449963088026205,19.50579108182943,15.060794773026808,3473921,0,-4.300523842260343,0.45312980172838246,6,1.0,True,True
3110929,남부터미널역 1번,골목상권,-4.267735936131265,18.6884773428632,14.420741406731937,1831674,0,-3.3094665782258605,0.8528093076341089,9,1.0,True,True
3110653,화곡역 2번,골목상권,-4.1713565422065795,17.979658178220184,13.808301636013605,992816,0,-2.5895619760066313,1.5341003913851579,6,1.0,True,True
3130192,동진시장,전통시장,-4.038809134643383,18.61589205021322,14.577082915569836,2141640,1,-2.17910033957644,1.2858696649392625,9,0.5,True,True
3110359,수유시장옆,골목상권,-3.9452216370617528,17.736685373867473,13.79146373680572,976239,0,-3.877450202628138,0.2946724942133823,9,1.0,True,True
3110621,목동역 5번,골목상권,-3.894078756071899,18.66223781860391,14.76815906253201,2592566,0,-2.0479373507141365,1.3561744365466797,9,1.0,True,True
3111064,둔촌동역 4번,골목상권,-3.807248830614437,17.90901369225357,14.101764861639133,1331430,0,-1.0403863619897638,1.0733139223688433,9,1.0,True,True
3110452,새절역 3번,골목상권,-3.7696854524420065,18.014097006798174,14.244411554356168,1535568,0,-2.6159586567072326,0.8531198403671173,9,1.0,True,True
3110211,전곡마을마당공원,골목상권,-3.6152892667038703,17.97888770660426,14.363598439900391,1729941,0,-3.2939485912309348,0.34283816547303153,9,1.0,True,True
3110873,당곡중학교,골목상권,-3.5172717348990563,18.087279949390897,14.57000821449184,2126542,0,-1.0383419810021797,1.13688400103039,7,1.0,True,True
3130229,남구로시장,전통시장,-3.5012112680197554,17.991913262708106,14.49070199468835,1964408,1,-3.0191220679532966,0.6381383339340736,9,0.5,True,True
3130258,영진시장A동,전통시장,-3.4152514479624507,17.704738358447027,14.289486910484577,1606368,0,-3.16092954811959,0.29771714689211237,9,1.0,True,True
3110532,아현역 2번,골목상권,-3.315766983050654,17.946447645079026,14.630680662028372,2259559,0,-3.639578676347678,0.6421360195353619,9,1.0,True,True
