블루오션_랭킹,q2_score,q1_score,q2_residual_score,q2_supply_score,q1_residual_score,q1_supply_score,상권_코드,상권_코드_명,상권유형,residual_latest,residual_avg,supply_shortage,cafe_revenue_per_store,카페음료_점포수,찻집수_latest,매출_latest,사분면,구조적블루오션
1,0.8168436293436294,0.4336389961389962,0.8832046332046332,0.7504826254826256,0.1167953667953668,0.7504826254826256,3001495,잠실 관광특구,관광특구,-1.5675414422243603,-1.3011803723276378,1.0,95159043.009009,110.0,0,10562653774,Q2_잠재수요미실현,True
2,0.7888513513513514,0.4799710424710425,0.8088803088803089,0.7688223938223939,0.19111969111969113,0.7688223938223939,3120220,대치역,발달상권,-1.0053919942538876,-1.2289932677003077,1.0,153746720.42857143,6.0,0,1076227043,Q2_잠재수요미실현,True
3,0.7637548262548263,0.29657335907335913,0.9671814671814671,0.5603281853281854,0.032818532818532815,0.5603281853281854,3120216,경기고교사거리(경기고교앞사거리),발달상권,-2.8314073176909247,-2.942948118391728,1.0,18919614.333333332,2.0,0,56758843,Q2_잠재수요미실현,True
4,0.7589285714285714,0.26182432432432434,0.997104247104247,0.5207528957528957,0.0028957528957528956,0.5207528957528957,3120189,강남역,발달상권,-5.927396115624255,-6.322566639836882,0.5,134455037.43965518,115.0,1,15596784343,Q3_저성과포화,True
5,0.7485521235521235,0.49372586872586877,0.7548262548262548,0.7422779922779923,0.24517374517374518,0.7422779922779923,3120179,양재역,발달상권,-0.7179895796943647,-0.8040464588455648,1.0,86610953.74418604,42.0,0,3724271011,Q2_잠재수요미실현,True
6,0.7446911196911197,0.37306949806949813,0.8716216216216216,0.6177606177606179,0.12837837837837837,0.6177606177606179,3120223,휘문고교사거리,발달상권,-1.4382199739905277,-1.6154663013744823,1.0,30294793.583333332,11.0,0,363537523,Q2_잠재수요미실현,True
7,0.740588803088803,0.381515444015444,0.859073359073359,0.622104247104247,0.14092664092664092,0.622104247104247,3120095,홍제역,발달상권,-1.339255841416545,-1.1518769868369398,1.0,30726678.57142857,6.0,0,215086750,Q2_잠재수요미실현,True
8,0.7398648648648649,0.5043436293436294,0.7355212355212355,0.7442084942084942,0.2644787644787645,0.7442084942084942,3120241,거여역,발달상권,-0.6154693938309919,-0.2382360515388586,1.0,88316850.66666667,2.0,0,264950552,Q2_잠재수요미실현,True
8,0.7398648648648649,0.42422779922779924,0.8156370656370656,0.6640926640926641,0.18436293436293436,0.6640926640926641,3120061,올림픽대교북단,발달상권,-1.0937643829066983,-1.4247729643544231,1.0,41960544.333333336,2.0,0,125881633,Q2_잠재수요미실현,True
10,0.7362451737451738,0.49203667953667957,0.7442084942084942,0.7282818532818534,0.2557915057915058,0.7282818532818534,3120247,굽은다리역,발달상권,-0.6627262840815327,-0.8185664842650762,1.0,74316630.66666667,2.0,0,222949892,Q2_잠재수요미실현,True
11,0.7333494208494209,0.4350868725868726,0.7982625482625483,0.6684362934362935,0.20173745173745175,0.6684362934362935,3120150,63빌딩,발달상권,-0.939350309393614,-0.9414783813738686,1.0,42805332.28571428,6.0,0,299637326,Q2_잠재수요미실현,True
