Q1_순위,상권_코드_명,상권유형,residual_latest,q1_score,supply_pct,supply_shortage,cafe_revenue_per_store,카페음료_점포수,찻집수_latest,매출_latest,사분면,구조적블루오션
1,홍대소상공인상점가,전통시장,3.2311428724263784,0.8752413127413128,0.7514478764478765,1.0,96095640.64285716,27.0,0,2690677938,Q1_검증시장공백,False
2,외대앞역 1번,골목상권,3.197972259577181,0.8819980694980695,0.7668918918918919,1.0,143532936.5,9.0,0,1435329365,Q1_검증시장공백,False
3,성신여대입구역 4번,골목상권,3.1789725105055027,0.8836872586872587,0.7712355212355213,1.0,158338201.8,9.0,0,1583382018,Q1_검증시장공백,False
4,광나루역 1번,골목상권,3.1357085320456903,0.8807915057915058,0.7664092664092664,1.0,143347920.8,9.0,0,1433479208,Q1_검증시장공백,False
5,경향신문사,골목상권,2.965718810357899,0.8798262548262548,0.7654440154440154,1.0,139378133.6,4.0,0,696890668,Q1_검증시장공백,False
6,상암동상점가,전통시장,2.9649416945061304,0.8194980694980695,0.6457528957528957,1.0,36457328.145833336,47.0,0,1749951751,Q1_검증시장공백,False
7,서원동상점가,전통시장,2.890127250848316,0.877895752895753,0.7644787644787645,1.0,137009633.85714287,13.0,0,1918134874,Q1_검증시장공백,False
8,쌍문역1번(쌍리단길),골목상권,2.817714544724669,0.8817567567567568,0.7750965250965252,1.0,207484730.0,3.0,0,829938920,Q1_검증시장공백,False
9,안암역 2번,골목상권,2.8026505311042484,0.8634169884169884,0.7393822393822393,1.0,84091233.5,13.0,0,1177277269,Q1_검증시장공백,False
10,숙대입구,골목상권,2.774193464830116,0.8240830115830116,0.6616795366795367,1.0,41488593.55263158,37.0,0,1576566555,Q1_검증시장공백,False
11,신내1동주민센터,골목상권,2.7456810276874144,0.8482142857142857,0.7109073359073359,1.0,62652324.52941176,16.0,0,1065089517,Q1_검증시장공백,False
12,경의선책거리,골목상권,2.718474960982565,0.7946428571428572,0.6047297297297298,1.0,28139624.37333333,74.0,0,2110471828,Q1_검증시장공백,False
13,도화동 상점가,전통시장,2.6143985716360696,0.8636583011583012,0.7437258687258688,1.0,87900082.63636364,21.0,0,1933801818,Q1_검증시장공백,False
14,숭실대입구역 4번,골목상권,2.587026441133567,0.8793436293436293,0.777027027027027,1.0,237693041.25,3.0,0,950772165,Q1_검증시장공백,False
15,성수동카페거리,골목상권,2.5793267755148577,0.8088803088803089,0.6370656370656371,1.0,33831761.175,39.0,0,1353270447,Q1_검증시장공백,False
16,시청역_8번,발달상권,2.5687250374138166,0.8788610038610039,0.777992277992278,1.0,461380037.25,27.0,0,12918641043,Q1_검증시장공백,False
17,아카데미하우스,골목상권,2.5408207968216985,0.8388030888030888,0.6988416988416989,1.0,57194052.91666666,11.0,0,686328635,Q1_검증시장공백,False
18,굽은다리역 3번,골목상권,2.5294293469588034,0.825530888030888,0.6732625482625483,1.0,45175948.7,19.0,0,903518974,Q1_검증시장공백,False
19,성수초등학교,골목상권,2.488271994734294,0.8240830115830116,0.6713320463320464,1.0,43972193.690476194,41.0,0,1846832135,Q1_검증시장공백,False
20,연희대우아파트앞,골목상권,2.47547121653642,0.8441119691119692,0.7123552123552124,1.0,63170106.94444445,17.0,0,1137061925,Q1_검증시장공백,False
21,홍대땡땡거리,골목상권,2.4709390242918303,0.7796814671814671,0.5844594594594594,1.0,23428270.84375,31.0,0,749704667,Q1_검증시장공백,False
22,국기원,골목상권,2.418409952428128,0.8708976833976834,0.7678571428571429,1.0,146900517.8181818,10.0,0,1615905696,Q1_검증시장공백,False
23,경희대후문,골목상권,2.3707664741870964,0.8110521235521235,0.6491312741312741,1.0,37419303.23529412,16.0,0,636128155,Q1_검증시장공백,False
