상권_코드_명,사분면,사분면_레이블,그룹,순위,변수_pct,분위수,변수명,SHAP순위
경향신문사,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,5,집객시설_수_pct,0.277027027027027,집객시설_수,0
광나루역 1번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,4,집객시설_수_pct,0.277027027027027,집객시설_수,0
외대앞역 1번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,2,집객시설_수_pct,0.7041505791505791,집객시설_수,0
성신여대입구역 4번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,3,집객시설_수_pct,0.3856177606177606,집객시설_수,0
서울역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,1,집객시설_수_pct,0.9676640926640928,집객시설_수,0
상봉역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,3,집객시설_수_pct,0.9382239382239382,집객시설_수,0
응암역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,5,집객시설_수_pct,0.6158301158301158,집객시설_수,0
충정로역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,4,집객시설_수_pct,0.7041505791505791,집객시설_수,0
대치역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,2,집객시설_수_pct,0.9353281853281852,집객시설_수,0
홍대소상공인상점가,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,1,집객시설_수_pct,0.0255791505791505,집객시설_수,0
경향신문사,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,5,총_직장_인구_수_pct,0.7886100386100386,총_직장_인구_수,1
광나루역 1번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,4,총_직장_인구_수_pct,0.5878378378378378,총_직장_인구_수,1
외대앞역 1번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,2,총_직장_인구_수_pct,0.3682432432432432,총_직장_인구_수,1
성신여대입구역 4번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,3,총_직장_인구_수_pct,0.4560810810810811,총_직장_인구_수,1
서울역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,1,총_직장_인구_수_pct,0.974903474903475,총_직장_인구_수,1
상봉역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,3,총_직장_인구_수_pct,0.777027027027027,총_직장_인구_수,1
응암역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,5,총_직장_인구_수_pct,0.3407335907335907,총_직장_인구_수,1
충정로역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,4,총_직장_인구_수_pct,0.8166023166023166,총_직장_인구_수,1
대치역,Q2_잠재수요미실현,Q2_잠재수요미실현,Q2_잠재수요미실현,2,총_직장_인구_수_pct,0.9314671814671814,총_직장_인구_수,1
홍대소상공인상점가,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,1,총_직장_인구_수_pct,0.3542471042471042,총_직장_인구_수,1
경향신문사,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,5,월_평균_소득_금액_pct,0.0009652509652509,월_평균_소득_금액,2
광나루역 1번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,4,월_평균_소득_금액_pct,0.7905405405405406,월_평균_소득_금액,2
외대앞역 1번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,2,월_평균_소득_금액_pct,0.1119691119691119,월_평균_소득_금액,2
성신여대입구역 4번,Q1_검증시장공백,Q1_검증시장공백,Q1_검증시장공백,3,월_평균_소득_금액_pct,0.4787644787644787,월_평균_소득_금액,2
