자치구_코드_명,사분면,상권수,평균_잔차,평균_공급부족,평균_찻집수
강남구,Q1_검증시장공백,29,0.8358899888710973,1.0,0.0
강남구,Q2_잠재수요미실현,30,-0.9577978741636389,1.0,0.0
강남구,Q3_저성과포화,6,-0.5069677744127373,0.4166666666666667,1.6666666666666667
강남구,Q4_레드오션,6,0.7179920794830382,0.47222222222222215,1.1666666666666667
강동구,Q1_검증시장공백,19,0.8952300685799669,1.0,0.0
강동구,Q2_잠재수요미실현,17,-0.924750812298613,1.0,0.0
강동구,Q3_저성과포화,2,-1.5075411142157904,0.5,1.0
강동구,Q4_레드오션,4,1.3431506407262965,0.3958333333333333,1.75
강북구,Q1_검증시장공백,11,0.7561195800166994,1.0,0.0
강북구,Q2_잠재수요미실현,19,-1.7065694308085693,1.0,0.0
강북구,Q3_저성과포화,1,-0.6180404282550143,0.5,1.0
강북구,Q4_레드오션,1,0.3512232685413572,0.5,1.0
강서구,Q1_검증시장공백,20,0.8448815312835256,1.0,0.0
강서구,Q2_잠재수요미실현,18,-1.4545377815582927,1.0,0.0
강서구,Q4_레드오션,3,0.24129103108466055,0.5,1.0
관악구,Q1_검증시장공백,18,0.9042197408805337,1.0,0.0
관악구,Q2_잠재수요미실현,21,-1.1367871569940946,1.0,0.0
관악구,Q4_레드오션,2,0.9486183703883384,0.5,1.0
광진구,Q1_검증시장공백,21,0.6695643308331756,1.0,0.0
광진구,Q2_잠재수요미실현,20,-1.2936388083525545,1.0,0.0
광진구,Q4_레드오션,2,0.8376633330804975,0.5,1.0
구로구,Q1_검증시장공백,16,0.9532129813932992,1.0,0.0
구로구,Q2_잠재수요미실현,17,-1.076489345260921,1.0,0.0
구로구,Q3_저성과포화,1,-3.501211268019756,0.5,1.0
금천구,Q1_검증시장공백,11,0.9792693065132153,1.0,0.0
금천구,Q2_잠재수요미실현,17,-1.203154281372185,1.0,0.0
금천구,Q4_레드오션,1,0.6704712667129833,0.5,1.0
노원구,Q1_검증시장공백,17,1.068945608730143,1.0,0.0
노원구,Q2_잠재수요미실현,12,-1.0947836390062402,1.0,0.0
노원구,Q4_레드오션,1,1.2276288345058362,0.3333333333333333,2.0
도봉구,Q1_검증시장공백,13,1.3028805723604846,1.0,0.0
도봉구,Q2_잠재수요미실현,12,-1.0472937308210735,1.0,0.0
도봉구,Q4_레드오션,1,0.2929332351435647,0.5,1.0
동대문구,Q1_검증시장공백,18,1.141031245452292,1.0,0.0
동대문구,Q2_잠재수요미실현,22,-0.784592919975319,1.0,0.0
동대문구,Q3_저성과포화,1,-0.5305351283791495,0.5,1.0
동대문구,Q4_레드오션,1,2.11072862281603,0.5,1.0
동작구,Q1_검증시장공백,25,0.914306800690252,1.0,0.0
동작구,Q2_잠재수요미실현,13,-1.202546351449339,1.0,0.0
마포구,Q1_검증시장공백,26,1.506788888447552,1.0,0.0
마포구,Q2_잠재수요미실현,18,-1.0108098237033545,1.0,0.0
마포구,Q3_저성과포화,3,-1.7251600480446865,0.5,1.0
마포구,Q4_레드오션,8,1.6930805138259983,0.5,1.0
서대문구,Q1_검증시장공백,16,0.9433281866843052,1.0,0.0
서대문구,Q2_잠재수요미실현,16,-1.4532471240507838,1.0,0.0
서대문구,Q3_저성과포화,3,-0.4555665405723393,0.4444444444444444,1.3333333333333333
서대문구,Q4_레드오션,2,2.0468991827555367,0.5,1.0
서초구,Q1_검증시장공백,20,0.7193566452301239,1.0,0.0
서초구,Q2_잠재수요미실현,21,-1.2303634138212405,1.0,0.0
서초구,Q3_저성과포화,3,-2.9385895779217854,0.5,1.0
서초구,Q4_레드오션,3,0.7680886836304097,0.5,1.0
성동구,Q1_검증시장공백,23,1.0316547401413128,1.0,0.0
성동구,Q2_잠재수요미실현,11,-1.3550807840524015,1.0,0.0
성동구,Q3_저성과포화,1,-0.5801632871610067,0.25,3.0
성동구,Q4_레드오션,2,0.7083512872367184,0.5,1.0
성북구,Q1_검증시장공백,28,1.0262023025519553,1.0,0.0
성북구,Q2_잠재수요미실현,14,-1.0088094119269482,1.0,0.0
성북구,Q3_저성과포화,2,-0.27611107142236513,0.5,1.0
성북구,Q4_레드오션,2,1.0926619290636648,0.5,1.0
송파구,Q1_검증시장공백,29,0.7579897251105329,1.0,0.0
송파구,Q2_잠재수요미실현,24,-0.7414826297016316,1.0,0.0
송파구,Q3_저성과포화,2,-2.163025550700061,0.41666666666666663,1.5
송파구,Q4_레드오션,4,1.0596550515337197,0.5,1.0
양천구,Q1_검증시장공백,14,0.4021672682543101,1.0,0.0
