블루오션_랭킹,q2_score,q1_score,q2_residual_score,q2_supply_score,q1_residual_score,q1_supply_score,상권_코드,상권_코드_명,상권유형,residual_latest,residual_avg,supply_shortage,cafe_revenue_per_store,카페음료_점포수,찻집수_latest,매출_latest,사분면,구조적블루오션,unified_score,집객시설_수_pct,총_직장_인구_수_pct,월_평균_소득_금액_pct,총_가구_수_pct,카페_검색지수_pct,지하철_노선_수_raw,지하철_노선_수_pct,지하철_역_목록,집객시설_수_raw,총_직장_인구_수_raw,월_평균_소득_금액_raw,총_가구_수_raw,카페_검색지수_raw
1,0.3730694980694981,0.8605212355212355,0.0125482625482625,0.7335907335907337,0.9874517374517374,0.7335907335907337,3110312,안암역 2번,골목상권,2.8026505311042484,2.9140789805126617,1.0,75953372.19354838,14.5,0,1177277269,Q1_검증시장공백,False,0.8605212355212355,20.125482625482626,44.11196911196911,72.58687258687259,54.92277992277992,42.760617760617755,1,31.467181467181465,6호선 안암역,8.0,593.0,3029259.0,1437.0,0.8954033333333333
2,0.365057915057915,0.8563706563706562,0.0086872586872587,0.7214285714285713,0.9913127413127412,0.7214285714285713,3130285,서원동상점가,전통시장,2.890127250848316,3.081348699806394,1.0,130043042.30508476,13.75,0,1918134874,Q1_검증시장공백,False,0.8563706563706562,75.4826254826255,58.059845559845556,54.15057915057915,32.528957528957534,79.92277992277992,1,31.467181467181465,2호선 신림역,31.0,988.0,2692846.0,818.0,3.3009866666666667
3,0.3723938223938224,0.855984555984556,0.0164092664092664,0.7283783783783784,0.9835907335907336,0.7283783783783784,3130195,도화동 상점가,전통시장,2.6143985716360696,2.519558951206428,1.0,106692514.09655172,17.125,0,1933801818,Q1_검증시장공백,False,0.855984555984556,83.88030888030889,78.08880308880309,73.74517374517374,58.68725868725869,66.07142857142857,1,31.467181467181465,5호선 마포역,42.0,2623.0,3058881.0,1562.0,1.6905033333333332
4,0.3520752895752896,0.8511100386100385,0.000965250965251,0.7031853281853282,0.999034749034749,0.7031853281853282,3130190,홍대소상공인상점가,전통시장,3.2311428724263784,3.310496439352882,1.0,92781997.86206897,28.0,0,2690677938,Q1_검증시장공백,False,0.8511100386100385,2.557915057915058,35.424710424710426,48.26254826254826,6.998069498069498,95.6081081081081,2,72.77992277992279,"2호선 홍대입구역, 6호선 상수역, 2호선, 6호선 합정역, 6호선 망원역, 6호선 광흥창역",2.0,475.0,2622376.0,247.0,6.541496666666667
5,0.3675313706563706,0.8472611003861004,0.0202702702702702,0.714792471042471,0.9797297297297296,0.714792471042471,3120021,시청역_8번,발달상권,2.5687250374138166,2.5450477691721445,1.0,465536614.1621622,26.75,0,12918641043,Q1_검증시장공백,False,0.8472611003861004,88.07915057915058,96.23552123552123,88.89961389961391,0.4826254826254826,68.1949806949807,1,31.467181467181465,4호선 회현역,52.0,20839.0,3690603.0,10.0,1.74693
6,0.3617277992277992,0.8472490347490348,0.0144787644787645,0.708976833976834,0.9855212355212356,0.708976833976834,3110272,신내1동주민센터,골목상권,2.7456810276874144,2.6648309991617385,1.0,59911285.33125,16.77777777777778,0,1065089517,Q1_검증시장공백,False,0.8472490347490348,77.41312741312741,57.72200772200772,33.397683397683394,56.03281853281853,13.030888030888029,1,31.467181467181465,"6호선 신내역, nan 망우역",33.0,976.0,2478067.0,1472.0,0.3676733333333333
7,0.3641047297297297,0.8457649613899614,0.0183397683397683,0.7098696911196911,0.9816602316602316,0.7098696911196911,3110839,숭실대입구역 4번,골목상권,2.587026441133567,2.5513123056868547,1.0,186020640.97826087,4.111111111111111,0,950772165,Q1_검증시장공백,False,0.8457649613899614,20.125482625482626,39.96138996138996,77.02702702702703,52.7992277992278,8.976833976833976,1,31.467181467181465,7호선 숭실대입구역,8.0,536.0,3165536.0,1370.0,0.2596199999999999
8,0.3507722007722007,0.8449806949806951,0.0057915057915057,0.6957528957528958,0.9942084942084942,0.6957528957528958,3110038,경향신문사,골목상권,2.965718810357899,3.030995723907216,1.0,122980706.11764704,4.666666666666667,0,696890668,Q1_검증시장공백,False,0.8449806949806951,27.7027027027027,78.86100386100387,0.09652509652509653,0.28957528957528955,62.83783783783784,1,31.467181467181465,5호선 서대문역,10.0,2843.0,1554706.0,6.0,1.4983666666666666
9,0.3565275096525095,0.844944498069498,0.0115830115830115,0.7014720077220077,0.9884169884169884,0.7014720077220077,3110396,쌍문역1번(쌍리단길),골목상권,2.817714544724669,2.629766881193331,1.0,133383040.71428572,5.222222222222222,0,829938920,Q1_검증시장공백,False,0.844944498069498,59.74903474903475,27.944015444015445,6.660231660231661,47.05598455598455,55.98455598455598,2,72.77992277992279,"1호선, 4호선 창동역",21.0,382.0,2207748.0,1193.0,1.3408933333333335
10,0.3484495656370656,0.8445885617760617,0.0038610038610038,0.6930381274131273,0.996138996138996,0.6930381274131273,3110296,성신여대입구역 4번,골목상권,3.1789725105055027,3.16167047254669,1.0,158338201.8,9.0,0,1583382018,Q1_검증시장공백,False,0.8445885617760617,38.56177606177606,45.608108108108105,47.87644787644788,39.189189189189186,15.299227799227799,2,72.77992277992279,"4호선 성신여대입구역, 4호선 한성대입구역, nan 정릉역, 6호선 보문역",13.0,624.0,2619792.0,979.0,0.4211466666666666
