기준_년분기_코드,상권_코드,상권_코드_명,찻집_수,공급갭_지수,유동밀도_지수,상주밀도_지수,여가소비_지수
20233,3120009,종로3가역,1,61.5,1375801.0,634.0,65440792.0
20233,3120006,종각역,3,25.5,307110.0,28.25,2435804.25
20233,3110170,동대부여고,0,12.0,1259441.0,3259.0,103452255.0
20233,3110740,금천해태공원,0,4.0,915064.0,2774.0,83328909.0
20233,3110833,상도역 2번,0,7.0,299815.0,1050.0,51283770.0
20233,3120173,교대역(법원.검찰청),0,72.0,2240051.0,2139.0,201065402.0
20233,3120217,대치사거리,0,16.0,670608.0,2056.0,88277747.0
20233,3110770,영등포구청역 6번,0,7.0,448869.0,904.0,31564408.0
20233,3110262,상봉역 3번,0,10.0,1007075.0,1426.0,63830144.0
20233,3130321,장신구 특화거리 상점가,0,9.0,118386.0,530.0,28330814.0
20233,3110149,세종대학교,0,2.0,104455.0,513.0,24492594.0
20233,3110255,상봉역 4번,0,11.0,1171726.0,3259.0,120370191.0
20233,3130181,아현가구거리상점가,0,5.0,1145159.0,322.0,15946485.0
20233,3120243,천호역,0,26.0,699598.0,1511.0,79964493.0
20233,3111064,둔촌동역 4번,0,6.0,259694.0,1236.0,67031704.0
20233,3110013,체부동홍종문가옥,0,6.0,71180.0,155.0,8440927.0
20233,3110151,자양한강도서관,1,4.0,353193.0,1196.0,34138098.0
20233,3130105,장미제일시장(중화동제일시장),0,5.0,166372.0,486.0,13462621.0
20233,3130076,능동로골목시장,0,3.0,135857.0,450.0,9168648.0
20233,3110404,신창초등학교,0,17.0,1805732.0,5321.0,156337963.0
20233,3110520,경의중앙 신촌역,2,2.0,115191.0,266.3333333333333,7977988.0
20233,3110526,봉원사,0,3.0,86091.0,626.0,44524032.0
20233,3110632,방화역 3번,0,7.0,359553.0,803.0,31503583.0
20233,3110883,은천초등학교(은천교앞),0,12.0,684591.0,2250.0,76343281.0
20233,3130318,로데오거리상점가,1,7.0,121001.0,150.0,8530138.5
20233,3110084,경리단길북측,0,21.0,515207.0,2185.0,71797673.0
20233,3130083,"중곡제일시장(중곡제일골목시장, 광성시장)",0,4.0,128614.0,419.0,17303315.0
20233,3111005,삼전역 3번,0,9.0,788707.0,4765.0,177600835.0
20233,3120157,신림역(신림),0,30.0,2144450.0,3498.0,206247590.0
20233,3110176,해오름공원,1,5.0,326061.5,1623.5,43171866.0
20233,3110570,KB국민은행 서강지점,0,4.0,112650.0,294.0,10216669.0
20233,3110942,염곡동 구룡사(포이동성당),1,7.5,391467.5,2261.0,104556103.0
20233,3110041,남산케이블카,0,14.0,164800.0,379.0,23365183.0
20233,3110218,답십리사거리,0,7.0,671080.0,1381.0,38603644.0
20233,3110280,북정마을,1,2.0,76876.0,178.5,9214290.0
20233,3110009,자하문터널,0,14.0,86815.0,835.0,41212214.0
20233,3110213,청량초등학교,0,6.0,267054.0,382.0,13256540.0
20233,3110437,당고개역 2번,0,5.0,618437.0,763.0,35036634.0
20233,3110703,개봉역,0,5.0,336832.0,1023.0,32477028.0
20233,3130290,영림시장,0,10.0,283154.0,920.0,47037401.0
20233,3110121,한양대역 4번,0,3.0,104067.0,299.0,16531715.0
20233,3110299,정릉역 1번,0,8.0,980500.0,1796.0,49374949.0
20233,3110550,합정역 8번,0,42.0,1009787.0,3358.0,132423202.0
20233,3110785,영등포푸르지오아파트,0,7.0,644832.0,1854.0,58432617.0
20233,3120114,목동신시가지,1,27.0,311554.5,2044.0,82666275.0
20233,3110127,성수1가1동주민센터,0,10.0,77786.0,458.0,6542476.0
20233,3110230,장안현대홈타운1차아파트,0,6.0,556659.0,1468.0,70306707.0
20233,3110228,장안근린공원,0,9.0,851455.0,2549.0,88749525.0
20233,3120177,신논현역 1번,0,15.0,728607.0,2347.0,110933523.0
20233,3120191,학동역,0,38.0,1116394.0,2611.0,123309144.0
20233,3110458,선일여고,0,6.0,510063.0,2938.0,115290414.0
20233,3110824,대방역 3번,0,8.0,126351.0,267.0,10176997.0
20233,3130035,방산종합시장(방산시장),0,16.0,401842.0,99.0,8616962.0
20233,3130086,서울약령시장,0,10.0,764955.0,907.0,29197817.0
20233,3110355,삼양사거리역 2번,0,4.0,857629.0,1721.0,37286928.0
20233,3110690,오류2동버들시장,0,5.0,873909.0,2649.0,87511535.0
20233,3110905,방배노인종합복지관(이수중학교),1,3.5,103399.0,1088.0,35131078.0
20233,3110043,충무초등학교,0,11.0,351721.0,964.0,61370630.0
20233,3110045,동대문역사문화공원역 5번,0,7.0,339522.0,504.0,11669162.0
20233,3110115,상왕십리역 3번,0,12.0,397371.0,1028.0,38548511.0
20233,3130205,신곡종합시장(신월6동 골목시장),1,1.0,11700.5,34.5,
20233,3110273,장스여성병원,1,2.5,181393.5,551.5,19060079.0
20233,3110565,홍익대,0,3.0,204168.0,839.0,35351536.0
20233,3110837,숭실대입구역 1번,0,12.0,879108.0,2122.0,128931333.0
20233,3111079,둔촌고등학교(둔촌중학교),0,3.0,194737.0,988.0,55276439.0
20233,3110328,상월곡역 3번,0,4.0,549288.0,936.0,32493128.0
20233,3120043,서울역,0,40.0,472432.0,132.0,50693709.0
20233,3110614,목동로데오거리,0,4.0,207905.0,1278.0,54232780.0
20233,3110346,4.19민주묘지역 2번,0,3.0,605443.0,651.0,19744112.0
20233,3110358,인수동 우편취급국,0,9.0,543336.0,1858.0,74586303.0
20233,3110475,백련산해모로아파트,0,9.0,341170.0,1768.0,63943037.0
20233,3110755,동일여자고등학교,0,4.0,134734.0,760.0,25013050.0
20233,3120222,삼성역,0,48.0,505734.0,163.0,58710557.0
20233,3120214,영동대교남단교차로,0,11.0,164389.0,181.0,42453708.0
20233,3111089,상일여고(상일초등학교),2,9.0,149602.0,706.0,14373251.0
20233,3120045,남영동 먹자골목,0,19.0,85984.0,262.0,24108824.0
20233,3120042,"숙대입구역(남영역, 남영동)",0,12.0,180252.0,96.0,19895477.0
20233,3120058,구의사거리,0,7.0,424563.0,922.0,33226644.0
20233,3130152,오!도봉거리 상점가,0,3.0,58274.0,323.0,18717801.0
20233,3110507,명지대학교,0,24.0,913435.0,3519.0,114969915.0
20233,3110674,강서구청가양동별관,0,1.0,27990.0,77.0,
20233,3120202,압구정로데오역(압구정로데오),0,56.0,1188349.0,1008.0,84173872.0
20233,3111050,강동구청(강동구청역 2번),0,6.0,204569.0,572.0,18207635.0
20233,3110063,효창공원앞역 5번,0,7.0,435817.0,1187.0,40668913.0
20233,3110410,방학역 2번,0,6.0,337693.0,1232.0,49868661.0
20233,3120013,이화사거리,0,19.0,490387.0,320.0,9894095.0
20233,3110895,샤로수길,0,43.0,1917006.0,4484.0,209485282.0
20233,3111029,오금역 4번,0,4.0,93206.0,624.0,24140132.0
20233,3111022,석촌중학교(방이육교),1,2.0,104405.0,708.0,26979687.0
20233,3110234,중랑역 4번,0,2.0,163931.0,369.0,28101286.0
20233,3110233,중랑역 1번,0,3.0,634298.0,2505.0,68575106.0
20233,3130214,송화벽화시장(송화골목시장),0,3.0,36294.0,276.0,22617231.0
20233,3110786,당산역 8번,0,3.0,237221.0,1038.0,44434997.0
20233,3110789,대림성모병원,0,7.0,329205.0,932.0,27366828.0
20233,3001496,강남 마이스 관광특구,2,8.666666666666666,20091.333333333332,2.6666666666666665,
20233,3111047,마천1치안센터,1,1.0,71283.0,670.0,20649564.0
20233,3111066,암사동성당(효정하나플러스아파트),0,11.0,646614.0,2686.0,89305835.0
20233,3110300,삼선동주민센터,0,33.0,1631034.0,1677.0,59608742.0
20233,3110638,신방화역 2번,0,12.0,1074547.0,2636.0,159408450.0
20233,3110766,대림역 5번,1,2.5,309059.0,692.5,28195118.0
20233,3110408,가인초등학교,0,6.0,202317.0,431.0,31650164.0
20233,3110548,마포구청역 4번,0,9.0,675344.0,1477.0,56391336.0
20233,3110560,마포FM,0,13.0,537801.0,888.0,28038170.0
20233,3110549,새터산,0,5.0,481876.0,1405.0,82146298.0
20233,3111020,방이동고분군(방산고등학교),0,13.0,132445.0,322.0,22302253.0
20233,3110297,경동고등학교,0,14.0,1255871.0,3399.0,94330043.0
20233,3110553,가좌역 2번,0,7.0,539526.0,1634.0,69429030.0
20233,3110571,신수동주민센터,0,9.0,260008.0,1260.0,39740281.0
20233,3110654,까치산역 4번,0,13.0,1509260.0,6466.0,331114358.0
20233,3120044,삼각지역,0,30.0,364077.0,826.0,30135666.0
20233,3120047,한남오거리,0,17.0,319905.0,759.0,68856978.0
20233,3110868,남부초등학교,0,15.0,354400.0,1509.0,51590035.0
20233,3120180,양재화물트럭터미널앞,0,11.0,60846.0,784.0,23230247.0
20233,3120007,북촌(안국역),6,10.285714285714286,54449.142857142855,116.71428571428571,3886373.4285714286
20233,3110052,장충초등학교,0,1.0,332755.0,967.0,31316265.0
20233,3120039,신당역,0,33.0,1147551.0,1250.0,112478271.0
20233,3110285,홍대부중,0,15.0,82381.0,1095.0,37125243.0
20233,3130196,공덕시장,0,1.0,17624.0,1.0,
20233,3111015,석촌역 3번,0,31.0,950770.0,5571.0,208620447.0
20233,3120074,안암역,0,8.0,397248.0,,7087738.0
20233,3120080,마들역,0,1.0,64134.0,2.0,
20233,3110578,대흥역 2번,0,22.0,1315939.0,1438.0,31657920.0
20233,3120022,북창동(시청역_6번),1,12.5,270208.5,43.5,2430562.0
20233,3120106,마포역,0,28.0,432092.0,1104.0,60828402.0
20233,3120124,개봉동 현대아파트,0,14.0,459556.0,1857.0,52207483.0
20233,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",0,11.0,294001.0,231.0,648981.0
20233,3110701,고척동성당,0,4.0,353725.0,535.0,37641718.0
20233,3110432,대진고등학교,0,10.0,223300.0,980.0,51585669.0
20233,3120129,구로디지털단지,0,77.0,333751.0,772.0,92640063.0
20233,3110722,G타워,0,2.0,142445.0,1785.0,88775918.0
20233,3111004,삼전역 1번,0,20.0,1211096.0,5435.0,205288185.0
20233,3110201,전농119안전센터,0,3.0,67008.0,228.0,7724682.0
20233,3110319,종암동주민센터,0,8.0,685416.0,1576.0,43281117.0
20233,3110961,언주역 3번,0,5.0,595211.0,1142.0,59004967.0
