순위,상권_코드,상권_코드_명,상권_구분_코드_명_x,당월_매출_금액,log_매출,공급갭_지수,찻집_수,카페음료_점포수,총_직장_인구_수,여성_직장_인구_수,총_유동인구_수,여성_유동인구_수,집객시설_수,지하철_노선_수,pct_공급갭,pct_직장인구,pct_유동인구,pct_매출,pct_찻집수_inv,블루오션_점수,당월_매출_억원
1,3110759,문래예술촌(문래창작촌),골목상권,1272281753,20.964077782052776,60.0,0,60.0,23813.0,6519.0,3510873.0,1799629.0,37.0,1,0.9748603351955307,0.9664804469273743,0.9720410065237651,87.6,0.5563314711359404,0.8716,12.72
2,3120202,압구정로데오역(압구정로데오),발달상권,1603035406,21.195164798289966,50.0,0,50.0,15957.0,6937.0,2008571.0,1110666.0,77.0,0,0.9618249534450651,0.9497206703910615,0.8918918918918919,89.8,0.5563314711359404,0.8643,16.03
3,3120207,선정릉역,발달상권,1145202419,20.858847244354006,41.0,0,41.0,21784.0,8980.0,1983833.0,998742.0,73.0,1,0.9506517690875232,0.9636871508379888,0.8890959925442684,86.4,0.5563314711359404,0.8636,11.45
4,3120190,강남을지병원,발달상권,938213230,20.659487806295964,55.0,0,55.0,15495.0,6321.0,1506013.0,780500.0,75.0,0,0.9683426443202979,0.9459962756052142,0.798695246971109,84.4,0.5563314711359404,0.8511,9.38
5,3120237,경찰병원역,발달상권,601941447,20.215670736084324,20.0,0,20.0,11113.0,4262.0,2827970.0,1458240.0,58.0,1,0.8580074487895717,0.9180633147113594,0.9561975768872321,78.4,0.5563314711359404,0.8313,6.02
6,3120055,군자역,발달상권,1158659030,20.870529165613704,35.0,0,35.0,3475.0,1561.0,2323338.0,1240719.0,95.0,2,0.9334264432029795,0.8119180633147114,0.9282385834109972,86.9,0.5563314711359404,0.8294,11.59
7,3120242,강동구청역,발달상권,1122424202,20.838756650133718,36.0,0,36.0,8831.0,2922.0,1602076.0,879581.0,48.0,1,0.936219739292365,0.9068901303538175,0.8182665424044734,86.2,0.5563314711359404,0.8281,11.22
8,3120066,장한평역(장한평),발달상권,924274222,20.644519363714565,28.0,0,28.0,7238.0,2647.0,1489742.0,736003.0,96.0,0,0.9143389199255121,0.8910614525139665,0.7931034482758621,84.3,0.5563314711359404,0.8235,9.24
9,3120119,발산역(마곡),발달상권,1532262931,21.150011520170498,99.0,0,99.0,7795.0,3301.0,935092.0,499431.0,108.0,1,0.9934823091247672,0.8957169459962756,0.5955265610438024,89.2,0.5563314711359404,0.8197,15.32
10,3120062,신설동역,발달상권,1007536336,20.73077391763597,22.0,0,22.0,6339.0,3067.0,1844784.0,972046.0,86.0,3,0.8794227188081937,0.8761638733705773,0.8685927306616962,85.1,0.5563314711359404,0.8194,10.08
11,3110895,샤로수길,골목상권,434072445,19.88872200440132,39.0,0,39.0,3561.0,1596.0,3583071.0,1810999.0,29.0,0,0.9455307262569832,0.813780260707635,0.9739049394221808,73.5,0.5563314711359404,0.8173,4.34
12,3120166,방배역,발달상권,948523442,20.67041706290107,39.0,0,39.0,10702.0,3645.0,1087076.0,577157.0,91.0,1,0.9455307262569832,0.9143389199255121,0.6449207828518173,84.6,0.5563314711359404,0.8156,9.49
13,3111021,방이역 4번,골목상권,301648253,19.524772174669202,31.0,0,31.0,4665.0,1241.0,2359807.0,1236799.0,26.0,1,0.9264432029795159,0.8426443202979516,0.9328984156570364,66.8,0.5563314711359404,0.8084,3.02
14,3120234,가락시장역,발달상권,1148507949,20.86172950214174,16.0,0,16.0,11587.0,4553.0,2055049.0,1000648.0,60.0,3,0.8016759776536313,0.9236499068901304,0.8974836905871388,86.6,0.5563314711359404,0.8075,11.49
15,3120040,용산전자상가(용산역),발달상권,898266763,20.6159776467395,29.0,0,29.0,15346.0,7006.0,1047388.0,481699.0,52.0,0,0.9203910614525139,0.9441340782122905,0.6346691519105312,84.0,0.5563314711359404,0.8068,8.98
16,3120157,신림역(신림),발달상권,1630331648,21.212049296712927,27.0,0,27.0,1622.0,796.0,4462884.0,2133853.0,147.0,1,0.9087523277467412,0.7029795158286778,0.9897483690587139,89.9,0.5563314711359404,0.8063,16.3
17,3120122,강서구청,발달상권,613570874,20.234806341115036,19.0,0,19.0,5982.0,2192.0,1794996.0,967441.0,66.0,0,0.8463687150837989,0.8733705772811918,0.8602050326188257,78.9,0.5563314711359404,0.8039,6.14
18,3120056,구의역,발달상권,724763360,20.401355760918637,22.0,0,22.0,7498.0,1892.0,1442030.0,752234.0,53.0,1,0.8794227188081937,0.8938547486033519,0.7698042870456664,81.9,0.5563314711359404,0.8025,7.25
19,3120039,신당역,발달상권,601008256,20.214119231173825,29.0,0,29.0,2321.0,1095.0,1943133.0,1021298.0,55.0,2,0.9203910614525139,0.7625698324022346,0.8844361602982292,78.3,0.5563314711359404,0.7995,6.01
20,3110939,양재역 8번(양재동우체국),골목상권,613453265,20.234614643174577,23.0,0,23.0,6972.0,2457.0,1788289.0,929752.0,27.0,0,0.8891992551210428,0.888268156424581,0.8592730661696178,78.8,0.5563314711359404,0.7994,6.13
