변수명,N,평균,중앙값,Q1,Q3,상관계수(r),R²,p-value,유의
카페음료_점포수,1023,11.1,7.0,4.0,13.0,0.6768,0.4581,0.0,***
공급갭_지수,1023,10.1,7.0,4.0,12.0,0.6141,0.3771,0.0,***
여성연령대_50_직장_인구_수,1021,147.14,57.0,28.0,142.0,0.5759,0.3317,0.0,***
여성_직장_인구_수,1021,866.07,271.0,128.0,706.0,0.569,0.3238,0.0,***
남성연령대_60_이상_직장_인구_수,1021,154.11,63.0,31.0,152.0,0.5652,0.3195,0.0,***
여성연령대_40_직장_인구_수,1021,196.17,68.0,33.0,162.0,0.561,0.3147,0.0,***
연령대_60_이상_직장_인구_수,1021,221.15,89.0,42.0,217.0,0.5536,0.3065,0.0,***
집객시설_수,1006,22.51,16.0,9.0,28.0,0.548,0.3003,0.0,***
여성연령대_20_직장_인구_수,1021,209.32,48.0,17.0,146.0,0.5446,0.2966,0.0,***
총_직장_인구_수,1021,2248.0,669.0,325.0,1762.0,0.5424,0.2942,0.0,***
연령대_20_직장_인구_수,1021,382.02,90.0,31.0,275.0,0.5365,0.2878,0.0,***
여성연령대_30_직장_인구_수,1021,244.57,65.0,27.0,172.0,0.5341,0.2853,0.0,***
연령대_50_직장_인구_수,1021,449.94,154.0,78.0,379.0,0.5335,0.2846,0.0,***
연령대_40_직장_인구_수,1021,575.33,172.0,81.0,424.0,0.5186,0.2689,0.0,***
남성_직장_인구_수,1021,1381.93,394.0,186.0,1056.0,0.5176,0.2679,0.0,***
연령대_30_직장_인구_수,1021,616.59,154.0,66.0,430.0,0.5133,0.2635,0.0,***
남성연령대_20_직장_인구_수,1021,172.7,41.0,12.0,128.0,0.5091,0.2592,0.0,***
여성연령대_60_이상_직장_인구_수,1021,67.04,24.0,7.0,66.0,0.5089,0.259,0.0,***
남성연령대_30_직장_인구_수,1021,372.02,91.0,35.0,262.0,0.4905,0.2406,0.0,***
남성연령대_50_직장_인구_수,1021,302.8,94.0,45.0,235.0,0.4904,0.2405,0.0,***
남성연령대_40_직장_인구_수,1021,379.16,98.0,46.0,271.0,0.4903,0.2404,0.0,***
시간대_14_17_유동인구_수,1022,118666.37,95168.5,50872.0,160542.0,0.3767,0.1419,0.0,***
시간대_11_14_유동인구_수,1022,117623.1,94243.0,49723.0,158253.5,0.3632,0.1319,0.0,***
버스_정거장_수,1006,4.4,3.0,1.0,6.0,0.363,0.1318,0.0,***
지하철_역_수,1006,0.18,0.0,0.0,0.0,0.3588,0.1287,0.0,***
소득_구간_코드,1002,6.08,6.0,5.0,7.0,0.3288,0.1081,0.0,***
여성연령대_10_직장_인구_수,1021,1.82,0.0,0.0,0.0,0.3163,0.1,0.0,***
연령대_10_직장_인구_수,1021,2.97,0.0,0.0,0.0,0.2997,0.0898,0.0,***
시간대_17_21_유동인구_수,1022,161243.22,127295.5,67117.5,214699.0,0.297,0.0882,0.0,***
연령대_30_유동인구_수,1022,164150.93,124914.0,61419.5,219601.75,0.2834,0.0803,0.0,***
연령대_20_유동인구_수,1022,165456.78,112340.5,52791.0,214619.25,0.2773,0.0769,0.0,***
연령대_40_유동인구_수,1022,152447.3,118975.5,61345.75,205398.0,0.2513,0.0631,0.0,***
남성연령대_10_직장_인구_수,1021,1.15,0.0,0.0,0.0,0.2412,0.0582,0.0,***
금요일_유동인구_수,1022,134458.79,106671.0,54992.5,184674.5,0.2296,0.0527,0.0,***
목요일_유동인구_수,1022,134800.39,107561.0,55711.5,188217.5,0.2283,0.0521,0.0,***
화요일_유동인구_수,1022,134700.21,107355.0,56175.5,187711.25,0.2255,0.0509,0.0,***
수요일_유동인구_수,1022,134991.84,107803.5,56068.0,187414.0,0.2242,0.0503,0.0,***
월요일_유동인구_수,1022,134376.57,107531.0,55257.25,186768.75,0.2151,0.0462,0.0,***
남성_유동인구_수,1022,442075.47,349052.5,179047.75,611828.75,0.2101,0.0441,0.0,***
찻집_수,1023,0.15,0.0,0.0,0.0,0.2096,0.0439,0.0,***
스타벅스_리저브_수,1023,0.02,0.0,0.0,0.0,0.207,0.0429,0.0,***
총_유동인구_수,1022,939813.88,747584.5,382304.75,1305092.75,0.2067,0.0427,0.0,***
여성_유동인구_수,1022,497738.41,394569.0,202701.75,703967.25,0.2021,0.0408,0.0,***
시간대_06_11_유동인구_수,1022,191842.73,153393.5,77299.5,265623.5,0.1861,0.0346,0.0,***
토요일_유동인구_수,1022,133502.59,102838.0,52998.75,189339.75,0.1829,0.0334,0.0,***
카페_검색지수,1023,1.89,1.06,0.53,2.15,0.1778,0.0316,0.0,***
