상권_코드,상권명,상권유형,평균매출_억원,n분기,r_원매출,p_원매출,r_로그매출,p_로그매출,유의_원매출,유의_로그매출
3120189,강남역,발달상권,138.63,9,-0.1396,0.7203,-0.1301,0.7387,,
3120149,여의도역(여의도),발달상권,129.51,9,-0.8327,0.0053,-0.8332,0.0053,**,**
3120131,가산디지털단지,발달상권,121.83,9,-0.3164,0.4068,-0.3116,0.4144,,
3120021,시청역_8번,발달상권,121.33,9,0.302,0.4297,0.2982,0.4357,,
3120103,홍대입구역(홍대),발달상권,117.2,9,-0.4006,0.2854,-0.3994,0.2869,,
3120197,역삼역,발달상권,109.95,9,-0.0088,0.9821,-0.0012,0.9976,,
3001495,잠실 관광특구,관광특구,104.49,9,-0.4683,0.2036,-0.4803,0.1907,,
3120028,명동(명동거리),발달상권,95.7,9,0.3141,0.4105,0.3139,0.4107,,
3120003,광화문역,발달상권,83.65,9,0.5529,0.1226,0.5553,0.1206,,
3120053,건대입구역(건대),발달상권,80.92,9,-0.1416,0.7164,-0.135,0.729,,
3120227,잠실역,발달상권,80.75,9,-0.4936,0.1769,-0.4602,0.2126,,
3001494,종로·청계 관광특구,관광특구,79.93,9,-0.6658,0.0503,-0.6699,0.0484,,*
3120104,연남동(홍대),발달상권,79.79,9,-0.2793,0.4667,-0.2962,0.4389,,
3120215,포스코사거리,발달상권,73.17,9,-0.16,0.681,-0.1491,0.7017,,
3120222,삼성역,발달상권,72.57,9,-0.2171,0.5747,-0.1753,0.6519,,
3120006,종각역,발달상권,71.4,9,0.2053,0.5962,0.2036,0.5992,,
3120009,종로3가역,발달상권,68.39,9,-0.3927,0.2959,-0.4051,0.2795,,
3120072,성신여대,발달상권,67.15,9,0.3548,0.3488,0.3441,0.3645,,
3120210,선릉역,발달상권,64.46,9,-0.7859,0.012,-0.7764,0.0139,*,*
3120012,대학로(혜화역),발달상권,63.04,9,-0.1132,0.7718,-0.0926,0.8126,,
3120081,노원역,발달상권,62.35,9,0.6821,0.043,0.6859,0.0414,*,*
3120007,북촌(안국역),발달상권,60.29,9,-0.8675,0.0024,-0.8735,0.0021,**,**
3120094,"신촌역(신촌역, 신촌로터리)",발달상권,57.85,9,0.291,0.4474,0.3006,0.4318,,
3120148,국회의사당역(국회의사당),발달상권,57.29,9,-0.5872,0.0964,-0.5622,0.1151,,
3120026,을지로입구역,발달상권,56.87,9,0.1774,0.648,0.1838,0.636,,
3120031,을지로3가역,발달상권,55.85,9,-0.692,0.0389,-0.7106,0.0319,*,*
3120043,서울역,발달상권,55.45,9,0.1733,0.6557,0.1661,0.6693,,
3120187,신논현역,발달상권,53.27,9,0.4395,0.2366,0.4369,0.2397,,
3120225,잠실새내역(신천),발달상권,51.66,9,0.2998,0.4332,0.2967,0.4382,,
3120173,교대역(법원.검찰청),발달상권,47.76,9,0.1764,0.6499,0.1915,0.6217,,
3120192,뱅뱅사거리,발달상권,47.65,9,0.7763,0.0139,0.7719,0.0148,*,*
3120129,구로디지털단지,발달상권,46.96,9,-0.2545,0.5087,-0.2457,0.524,,
3001496,강남 마이스 관광특구,관광특구,46.9,9,-0.2559,0.5063,-0.241,0.5323,,
3120098,DMC(디지털미디어시티),발달상권,45.98,9,0.5272,0.1447,0.514,0.1569,,
3120005,삼청동,발달상권,44.21,9,0.4532,0.2206,0.4893,0.1813,,
3001491,이태원 관광특구,관광특구,42.2,9,-0.2203,0.5689,-0.2203,0.569,,
3120002,서촌(경복궁역),발달상권,41.67,9,-0.0482,0.9021,-0.0138,0.9719,,
3120185,논현역,발달상권,41.07,9,-0.0608,0.8765,-0.0559,0.8864,,
3120051,뚝섬역,발달상권,38.44,9,0.1109,0.7765,0.1089,0.7803,,
3120008,인사동,발달상권,38.43,9,0.637,0.065,0.6348,0.0662,,
3120145,영등포역(영등포),발달상권,35.74,9,-0.8157,0.0073,-0.8248,0.0062,**,**
3120032,충무로역,발달상권,35.57,9,0.1875,0.629,0.2154,0.5778,,
3120179,양재역,발달상권,34.95,9,-0.2919,0.4459,-0.2993,0.434,,
3120162,방배동카페골목,발달상권,34.28,9,-0.4568,0.2164,-0.4687,0.2032,,
3120143,당산역,발달상권,34.11,9,0.8815,0.0017,0.8833,0.0016,**,**
3120041,신용산역(용산역),발달상권,32.91,9,0.2361,0.5409,0.2603,0.4988,,
3120169,서초역,발달상권,32.53,9,0.1391,0.7211,0.1507,0.6988,,
3120204,르네상스호텔사거리,발달상권,32.28,9,-0.2219,0.5661,-0.2071,0.5928,,
3120027,명동역(명동재미로),발달상권,32.12,9,0.0891,0.8197,0.1107,0.7768,,
3120178,신사역,발달상권,30.66,9,0.2362,0.5407,0.2011,0.6038,,
3120186,가로수길,발달상권,30.48,9,0.5586,0.1179,0.551,0.1242,,
3120064,경희대학교(경희대),발달상권,30.39,9,0.1937,0.6176,0.2042,0.5982,,
3120203,강남구청역,발달상권,29.74,9,-0.0342,0.9304,-0.0366,0.9255,,
