검색어,검색어_유형,기준_지역,키워드,대표_상권코드
청운효자동 찻집,행정동,청운효자동,찻집,3110008
독립문역 찻집,지하철역,독립문역,찻집,3110008
청운효자동 티룸,행정동,청운효자동,티룸,3110008
독립문역 티룸,지하철역,독립문역,티룸,3110008
청운효자동 티하우스,행정동,청운효자동,티하우스,3110008
독립문역 티하우스,지하철역,독립문역,티하우스,3110008
청운효자동 티카페,행정동,청운효자동,티카페,3110008
독립문역 티카페,지하철역,독립문역,티카페,3110008
청운효자동 다원,행정동,청운효자동,다원,3110008
독립문역 다원,지하철역,독립문역,다원,3110008
부암동 찻집,행정동,부암동,찻집,3110009
홍제역 찻집,지하철역,홍제역,찻집,3110009
부암동 티룸,행정동,부암동,티룸,3110009
홍제역 티룸,지하철역,홍제역,티룸,3110009
부암동 티하우스,행정동,부암동,티하우스,3110009
홍제역 티하우스,지하철역,홍제역,티하우스,3110009
부암동 티카페,행정동,부암동,티카페,3110009
홍제역 티카페,지하철역,홍제역,티카페,3110009
부암동 다원,행정동,부암동,다원,3110009
홍제역 다원,지하철역,홍제역,다원,3110009
평창동 찻집,행정동,평창동,찻집,3110010
평창동 티룸,행정동,평창동,티룸,3110010
평창동 티하우스,행정동,평창동,티하우스,3110010
평창동 티카페,행정동,평창동,티카페,3110010
평창동 다원,행정동,평창동,다원,3110010
가회동 찻집,행정동,가회동,찻집,3110017
광화문역 찻집,지하철역,광화문역,찻집,3110017
가회동 티룸,행정동,가회동,티룸,3110017
광화문역 티룸,지하철역,광화문역,티룸,3110017
가회동 티하우스,행정동,가회동,티하우스,3110017
광화문역 티하우스,지하철역,광화문역,티하우스,3110017
가회동 티카페,행정동,가회동,티카페,3110017
광화문역 티카페,지하철역,광화문역,티카페,3110017
가회동 다원,행정동,가회동,다원,3110017
광화문역 다원,지하철역,광화문역,다원,3110017
혜화역 찻집,지하철역,혜화역,찻집,3110018
혜화역 티룸,지하철역,혜화역,티룸,3110018
혜화역 티하우스,지하철역,혜화역,티하우스,3110018
혜화역 티카페,지하철역,혜화역,티카페,3110018
혜화역 다원,지하철역,혜화역,다원,3110018
종로1?2?3?4가동 찻집,행정동,종로1?2?3?4가동,찻집,3110019
종로3가역 찻집,지하철역,종로3가역,찻집,3110019
종로1?2?3?4가동 티룸,행정동,종로1?2?3?4가동,티룸,3110019
종로3가역 티룸,지하철역,종로3가역,티룸,3110019
종로1?2?3?4가동 티하우스,행정동,종로1?2?3?4가동,티하우스,3110019
종로3가역 티하우스,지하철역,종로3가역,티하우스,3110019
종로1?2?3?4가동 티카페,행정동,종로1?2?3?4가동,티카페,3110019
종로3가역 티카페,지하철역,종로3가역,티카페,3110019
종로1?2?3?4가동 다원,행정동,종로1?2?3?4가동,다원,3110019
종로3가역 다원,지하철역,종로3가역,다원,3110019
혜화동 찻집,행정동,혜화동,찻집,3110020
혜화동 티룸,행정동,혜화동,티룸,3110020
혜화동 티하우스,행정동,혜화동,티하우스,3110020
혜화동 티카페,행정동,혜화동,티카페,3110020
혜화동 다원,행정동,혜화동,다원,3110020
불광역 찻집,지하철역,불광역,찻집,3110001
불광역 티룸,지하철역,불광역,티룸,3110001
불광역 티하우스,지하철역,불광역,티하우스,3110001
불광역 티카페,지하철역,불광역,티카페,3110001
불광역 다원,지하철역,불광역,다원,3110001
무악동 찻집,행정동,무악동,찻집,3110002
무악동 티룸,행정동,무악동,티룸,3110002
무악동 티하우스,행정동,무악동,티하우스,3110002
무악동 티카페,행정동,무악동,티카페,3110002
무악동 다원,행정동,무악동,다원,3110002
교남동 찻집,행정동,교남동,찻집,3110004
교남동 티룸,행정동,교남동,티룸,3110004
교남동 티하우스,행정동,교남동,티하우스,3110004
교남동 티카페,행정동,교남동,티카페,3110004
교남동 다원,행정동,교남동,다원,3110004
숭인2동 찻집,행정동,숭인2동,찻집,3110035
동묘앞역 찻집,지하철역,동묘앞역,찻집,3110035
숭인2동 티룸,행정동,숭인2동,티룸,3110035
동묘앞역 티룸,지하철역,동묘앞역,티룸,3110035
숭인2동 티하우스,행정동,숭인2동,티하우스,3110035
