상권_코드,상권_코드_명,스타벅스_리저브_수
3110008,배화여자대학교(박노수미술관),0
3110009,자하문터널,0
3110010,평창동서측,0
3110017,정독도서관,0
3110018,중앙고등학교,0
3110019,창덕궁,0
3110020,서울국제고등학교,0
3110001,이북5도청사,0
3110002,독립문역 1번,0
3110003,세검정초등학교,0
3110004,대신고등학교,0
3110035,동묘앞역 2번,0
3110011,청운초등학교,0
3110012,성곡미술관,0
3110013,체부동홍종문가옥,0
3110014,경복고등학교,0
3110015,청와대사랑채,0
3110016,평창동동측,0
3110005,세검정,0
3110006,부암동주민센터,0
3110007,사직공원(한국사회과학도서관),0
3110037,신설동역 12번,0
3110038,경향신문사,0
3110039,회현역 1번,0
3110021,성균관대학교,0
3110022,경신고등학교,0
3110023,서울대병원,0
3110024,혜화동주민센터,0
3110025,충신시장옆,0
3110026,종로5가역 4번,0
3110027,혜화역 1번,0
3110028,이화달팽이길,0
3110029,동대문역 1번,0
3110030,동대문역 3번,0
3110031,창신역 1번,0
3110032,수족관거리,0
3110033,창신역 4번,0
3110034,창신1동주민센터,0
3110057,황학코아루아파트,0
3110058,성심여자고등학교,0
3110059,새남터성지,0
3110036,동묘앞역 3번,0
3110040,중구회현체육센터(정화예술대남산캠퍼스),0
3110041,남산케이블카,0
3110042,남산골공원옆,0
3110043,충무초등학교,0
3110044,관성묘,0
3110045,동대문역사문화공원역 5번,0
3110046,버티고개,0
3110047,다산성곽길,0
3110048,장충동주민센터,1
3110049,장충단 고개,0
3110053,청구역 1번,0
3110054,청구역 3번,0
3110055,황학동벼룩시장,0
3110056,신당역 3번,0
3110079,후암동주민센터,0
3110080,해방촌예술마을,0
3110081,해방촌 남동측,0
3110050,약수역 7번,0
3110051,한양공고앞 교차로,0
3110052,장충초등학교,0
3110060,효창공원앞역 6번,0
3110061,효창동주민센터,0
3110062,한강로동땡땡거리(은행나무길),0
3110063,효창공원앞역 5번,0
3110064,효창공원앞역 2번,0
3110082,용산구청,0
3110083,서빙고역 1번,0
3110084,경리단길북측,0
3110085,경리단길남측,0
3110086,이태원역 북측,0
3110065,남정초등학교,0
3110066,서울역 15번,0
3110067,배문고등학교,0
3110068,남영역 1번,0
3110069,숙대입구,0
3110070,용산세무서,0
3110071,한강미주맨션아파트,1
3110072,열정도,0
3110073,삼각지역 3번,0
3110074,서울역 12번,0
3110075,숙대입구역 1번,0
3110076,삼각지역 14번,0
3110077,삼광초등학교,0
3110078,이촌동점보아파트,0
3110110,상왕십리역 6번,0
3110111,대현산장미원,0
3110087,이태원엔틱가구거리,0
3110088,오산고등학교,0
3110089,서빙고동주민센터,0
3110090,한국폴리텍대학서울정수캠퍼스,0
3110091,리움미술관,0
3110092,NH농협은행 보광동지점,0
3110093,우사단길,0
3110094,오산중학교,0
3110095,한강진역 3번,0
3110096,한남힐사이드아파트,0
3110097,한남초등학교,0
3110098,서울독일학교,0
3110099,유엔빌리지길,1
3110100,옥수동우편취급국,0
3110101,옥정중학교,0
3110102,옥수역 6번,0
3110103,옥수터널,0
3110104,신금호역 4번,0
3110108,성동구립금호도서관,0
3110109,금호삼성래미안아파트,0
3110129,성원어린이공원,0
3110130,답십리역 6번,0
3110131,성수동카페거리,0
3110132,성수2가3동주민센터,0
3110136,경수초등학교,0
3110105,금동어린이공원,0
3110106,금북초등학교,0
3110107,금호사거리,0
3110112,행당역 2번,0
3110113,응봉산,0
3110114,왕십리파출소,0
3110133,서울교통공사,0
3110134,성수119안전센터,0
3110135,성동세무서,0
3110115,상왕십리역 3번,0
3110116,청계천박물관,0
3110117,성동구보건소,0
3110118,왕십리역 9번,0
3110119,마장지하차도,0
3110120,서울숲카페거리,0
3110121,한양대역 4번,0
3110122,마장역 2번,0
3110123,마장역 3번,0
3110124,뚝섬역교차로,0
3110125,사근동살곶이상점가,0
3110126,서울숲역 1번,0
3110127,성수1가1동주민센터,0
3110128,성원중학교,0
3110157,자양동우체국,0
3110158,중곡3동주민센터,0
3110159,구의역 4번,0
3110160,광진경찰서,0
3110137,성수초등학교,0
3110138,송정체육공원,0
3110139,자양4동주민센터,0
3110140,건대입구역 6번,0
3110141,건대입구역 1번,0
3110142,화양사거리,0
3110144,어린이대공원역 4번,0
3110145,장안초등학교,0
3110146,신자초등학교,0
3110147,능동우편취급국,0
3110148,어린이대공원역 3번,0
3110149,세종대학교,0
3110150,중곡1동 마을마당,0
3110151,자양한강도서관,0
3110152,중곡어린이공원,0
3110153,중곡1동주민센터,0
3110156,군자역 5번,0
3110174,아차산역 1번,0
3110175,푸른동산공원,0
3110178,장로회신학대학교,0
3110179,광나루역 1번,0
3110154,광진정말공원,0
3110155,광진구청,0
3110161,중곡역 3번,0
3110162,군자역 4번,0
3110143,뚝섬유원지역 1번,0
3110176,해오름공원,0
3110177,동의초등학교,0
3110163,성자초등학교,0
3110164,아차산역 5번,0
3110165,국립정신건강센터,0
3110166,구의1동주민센터,0
3110167,용마초등학교,0
3110168,대원고등학교,0
3110169,성동초등학교,0
3110170,동대부여고,0
3110171,중곡4동주민센터,0
3110172,광진초등학교,0
3110173,구남초등학교,0
3110180,광진정보도서관,0
3110181,신설동역 9번,0
3110182,용두희망어린이공원,0
3110183,한국의류시험연구원,0
3110206,텃골근린공원,0
3110207,시립대앞사거리,0
3110208,시조사삼거리,0
3110209,답십리 장령당공원,0
3110184,용두사거리,0
3110185,용두초등학교,0
3110186,종암초등학교,0
3110187,제기동역 6번,0
3110188,용두동신동아아파트,0
3110189,제기동역 1번,0
3110190,고대앞사거리,0
3110195,동대문구청,0
3110196,홍릉근린공원,0
3110197,세종대왕기념관교차로,0
3110198,동대문중앙새마을금고본점,0
3110199,홍릉시장,0
3110200,동대문경찰서,0
3110201,전농119안전센터,0
3110202,전농1동주민센터(전농시장),0
3110203,떡전교사거리,0
3110191,고려대역 6번,0
3110192,동의보감타워,0
3110193,고려대역 4번,0
3110194,홍파초등학교,0
3110204,간데메공원,0
3110205,경희대삼거리,0
3110228,장안근린공원,0
3110229,장평중학교,0
3110230,장안현대홈타운1차아파트,0
3110231,장안교,0
3110232,동대부고,0
3110223,군자초등학교,0
3110224,외대앞역 2번,0
3110225,촬영소사거리,0
3110210,서울시립대,0
3110211,전곡마을마당공원,0
3110212,답십리초등학교,0
3110213,청량초등학교,0
3110214,경희대후문,0
3110215,회기역 1번,0
3110216,전농중학교,0
3110217,자동차부품상가,0
3110218,답십리사거리,0
3110219,삼육보건대학교,0
3110220,외대앞역 1번,0
3110221,의릉,0
3110222,회기역 2번,0
3110226,장안1동주민센터,0
3110227,답십리공원,0
3110254,오거리공원,0
3110255,상봉역 4번,0
3110233,중랑역 1번,0
3110234,중랑역 4번,0
3110235,세화어린이공원,0
3110236,신묵초등학교,0
3110237,메가박스 상봉,0
3110238,배꽃어린이공원,0
3110239,중랑역 2번,0
3110243,중랑노인종합복지관,0
3110244,중화역 4번,0
3110245,KB국민은행 중화동지점,0
3110246,월드순복음교회,0
3110247,먹골역 1번,0
3110248,먹골파출소,0
3110249,중화역 1번,0
3110250,화랑대역 7번,0
3110240,태릉시장 특화거리,0
3110241,먹골역 5번,0
3110242,면목5동주민센터,0
3110251,장안중학교,0
3110252,장안제일시장,0
3110253,중곡초등학교,0
3110277,러스크서울병원,0
3110278,망우본동주민센터,0
3110272,신내1동주민센터,0
3110273,장스여성병원,0
3110256,면목2동체육관,0
3110257,상봉역 7번,0
3110258,면동초등학교,0
3110259,사가정역 1번,0
3110260,면목역 3번,0
3110261,사가정역 4번,0
3110262,상봉역 3번,0
3110263,면목역 1번,0
3110264,면목역 2번,0
3110265,망우역 1번,0
3110266,면목동우체국,0
3110267,망우역 2번,0
3110268,망우3동주민센터,0
3110269,용마문화복지센터,0
3110270,혜원여고,0
3110271,신내역 1번,0
3110274,서일대학교,0
3110275,하나은행 망우동지점,0
3110276,신내IC북측,0
3110320,KB국민은행 종암동지점,0
3110321,동덕여대,0
3110322,장위1동주민센터,0
3110323,상월곡역 1번,0
3110279,신내역 2번,0
3110280,북정마을,0
3110281,길상사,0
3110282,국민대학교앞,0
3110283,성북초등학교앞,0
3110284,정릉북한산국립공원입구,0
3110285,홍대부중,0
3110286,한성대입구역 5번,0
3110287,정릉3동주민센터,0
3110288,동구여중,0
3110289,북한산보국문역 2번,0
3110290,북한산보국문역 1번,0
3110298,솔숲어린이공원,0
3110299,정릉역 1번,0
3110300,삼선동주민센터,0
3110301,성신여대입구역 7번,0
3110302,보문역 8번,0
3110303,성신여대입구역 1번,0
3110304,보문역 4번,0
3110305,보문역 5번,0
3110306,미아초등학교,0
3110307,길음역 7번,0
3110308,길음역 8번,0
3110309,대광초등학교,0
3110291,한성대입구역 3번,0
3110292,정릉역 2번,0
3110293,삼선중학교,0
3110294,서경대학교,0
3110295,정릉우체국,0
3110296,성신여대입구역 4번,0
3110297,경동고등학교,0
3110310,길음역 10번,0
3110311,종암아이파크2차후문,0
3110312,안암역 2번,0
3110313,안암역 3번,0
3110314,종암경찰서,0
3110315,종암아이파크2차,0
3110316,숭곡초등학교,0
3110317,종암중학교,0
3110318,KT월곡지사,0
3110319,종암동주민센터,0
3110353,수유동우체국,0
3110354,삼각산119안전센터,0
3110347,구세군강북종합사회복지관,0
3110348,강북문화예술회관,0
3110349,화계역 2번,0
3110324,월곡역 4번,0
3110325,장곡초등학교,0
3110326,장위동성당,0
3110327,상월곡역 2번,0
3110328,상월곡역 3번,0
3110329,우리은행체육관,0
3110330,돌곶이역 1번,0
