상권_코드,상권_코드_명,기준_분기_코드,서비스_업종_코드_명,점포수
3110298,솔숲어린이공원,20233,커피-음료,1.0
3130226,고척프라자,20233,커피-음료,1.0
3110980,개포지구대옆,20233,커피-음료,5.0
3110782,영등포시장역 4번,20233,커피-음료,2.0
3110451,증산역 4번,20233,커피-음료,3.0
3110975,매봉역 1번,20233,커피-음료,4.0
3110428,상계5동주민센터,20233,커피-음료,17.0
3110690,오류2동버들시장,20233,커피-음료,9.0
3111008,석촌고분역 3번,20233,커피-음료,9.0
3120176,논현역 4번,20233,커피-음료,14.0
3110647,화곡역 5번,20233,커피-음료,14.0
3120139,대림3동사거리,20233,커피-음료,17.0
3111076,둔촌2동주민센터,20233,커피-음료,8.0
3110501,연희어린이공원,20233,커피-음료,2.0
3110828,노량진역 6번,20233,커피-음료,14.0
3130241,선유도역 골목형상점가,20233,커피-음료,11.0
3110730,서울축산농협 독산역지점(독산파출소),20233,커피-음료,6.0
3111084,길동신동아아파트,20233,커피-음료,3.0
3120074,안암역,20233,커피-음료,13.0
3110305,보문역 5번,20233,커피-음료,13.0
3110937,방아다리근린공원(횃불트리니티신학대학원대학교),20233,커피-음료,3.0
3111045,개미어린이공원,20233,커피-음료,1.0
3110700,고척초등학교,20233,커피-음료,4.0
3110978,도곡2동주민센터(대치중학교),20233,커피-음료,2.0
3110635,공항시장역 3번,20233,커피-음료,1.0
3111090,강일동주민센터,20233,커피-음료,6.0
3110506,연희임광아파트,20233,커피-음료,3.0
3110349,화계역 2번,20233,커피-음료,1.0
3130052,서울중앙시장(신중앙시장),20233,커피-음료,6.0
3120103,홍대입구역(홍대),20233,커피-음료,272.0
3110129,성원어린이공원,20233,커피-음료,21.0
3110596,서서울호수공원,20233,커피-음료,10.0
3110813,보라매역 6번,20233,커피-음료,12.0
3110928,서초우방유쉘아파트,20233,커피-음료,3.0
3110361,삼양사거리역 1번,20233,커피-음료,3.0
3110612,신정역 5번,20233,커피-음료,7.0
3110712,남구로역 5번,20233,커피-음료,5.0
3110736,독산119안전센터,20233,커피-음료,7.0
3110212,답십리초등학교,20233,커피-음료,20.0
3110904,이수역 5번,20233,커피-음료,11.0
3110716,구로나눔길,20233,커피-음료,8.0
3110636,방화역 2번,20233,커피-음료,11.0
3110138,송정체육공원,20233,커피-음료,8.0
3120036,장충동족발거리(남소영길),20233,커피-음료,13.0
3110496,모래내우체국,20233,커피-음료,7.0
3110358,인수동 우편취급국,20233,커피-음료,9.0
3110133,서울교통공사,20233,커피-음료,4.0
3110656,까치산역 3번,20233,커피-음료,7.0
3110857,미성동주민센터,20233,커피-음료,5.0
