가게명,카테고리,지번주소,도로명주소,전화번호,lon,lat,카카오_url,검색어,leaf_count,herb_count,filter_result
다심헌,음식점 > 카페 > 전통찻집,서울 종로구 옥인동 104,서울 종로구 옥인길 8,02-537-9948,126.96806077211444,37.58065208276528,http://place.map.kakao.com/16557435,청운효자동 찻집,619,2,KEEP
전통문화원,음식점 > 카페 > 전통찻집,서울 종로구 통인동 111,서울 종로구 자하문로 51,02-722-8254,126.970886578474,37.5805302783619,http://place.map.kakao.com/11377187,청운효자동 찻집,4298,2300,KEEP
호전다실,음식점 > 카페 > 전통찻집,서울 종로구 통인동 130,서울 종로구 자하문로11길 16-2,02-722-1007,126.970443079391,37.579798561157,http://place.map.kakao.com/1826221826,청운효자동 찻집,781,17,KEEP
서울서둘째로잘하는집,음식점 > 카페 > 전통찻집,서울 종로구 삼청동 28-21,서울 종로구 삼청로 122-1,02-734-5302,126.9818338546895,37.5862501745141,http://place.map.kakao.com/7941905,청운효자동 찻집,20577,1022,KEEP
연경당,음식점 > 카페 > 전통찻집,서울 종로구 팔판동 39,서울 종로구 팔판길 26,0507-1346-9587,126.98126292037544,37.58295245025109,http://place.map.kakao.com/1720131109,청운효자동 찻집,266,395,KEEP
차마시는뜰 차뜰,음식점 > 카페 > 전통찻집,서울 종로구 삼청동 35-169,서울 종로구 북촌로11나길 26,02-722-7006,126.98226506208036,37.582155225838505,http://place.map.kakao.com/2047830907,청운효자동 찻집,1053,144,KEEP
다담찻집,음식점 > 카페 > 전통찻집,서울 종로구 화동 40-1,서울 종로구 삼청로 76,070-4140-2252,126.981854099593,37.5821407474772,http://place.map.kakao.com/309966512,청운효자동 찻집,536,268,KEEP
다연,음식점 > 카페 > 전통찻집,서울 종로구 소격동 61,서울 종로구 삼청로 48-12,,126.98057296221528,37.58043856653446,http://place.map.kakao.com/1922722948,청운효자동 찻집,4430,2369,KEEP
동양차문화관,음식점 > 카페 > 전통찻집,서울 종로구 삼청동 35-91,서울 종로구 북촌로11길 76,,126.983592684909,37.5838628003638,http://place.map.kakao.com/844782189,청운효자동 찻집,318,163,KEEP
월하보이,음식점 > 카페 > 전통찻집,서울 종로구 화동 118-2,서울 종로구 북촌로5길 26,0507-1349-2340,126.983561939184,37.5795200068365,http://place.map.kakao.com/1278859863,청운효자동 찻집,660,75,KEEP
금정헌,음식점 > 카페 > 전통찻집,서울 종로구 가회동 31-22,서울 종로구 북촌로11길 32,02-763-2977,126.983697187403,37.5822878783646,http://place.map.kakao.com/1314617647,청운효자동 찻집,271,47,KEEP
차향기듣는집,음식점 > 카페 > 전통찻집,서울 종로구 화동 106-2,서울 종로구 북촌로5길 29,02-720-9691,126.983149897003,37.5793361459711,http://place.map.kakao.com/7873707,청운효자동 찻집,30368,92,KEEP
티솔로지,음식점 > 카페 > 전통찻집,서울 종로구 화동 126,서울 종로구 윤보선길 71,02-6212-0250,126.983346912842,37.5791956188603,http://place.map.kakao.com/933374911,청운효자동 찻집,115,3,KEEP
터틀도브,음식점 > 카페,서울 종로구 필운동 124-1,서울 종로구 사직로9가길 13,0503-7152-4276,126.968746154634,37.5768599822792,http://place.map.kakao.com/329388840,청운효자동 찻집,54,21,KEEP
전통찻집덕수궁,음식점 > 카페 > 전통찻집,서울 중구 서소문동 53-6,서울 중구 서소문로 109,02-773-0885,126.97325215264,37.5630551367495,http://place.map.kakao.com/13566339,독립문역 찻집,207,275,KEEP
서울에서 첫번째로잘하는 전통찻집,음식점 > 카페 > 전통찻집,서울 중구 태평로1가 25,서울 중구 세종대로 124,,126.977886902592,37.5674601648644,http://place.map.kakao.com/15794175,독립문역 찻집,10006,1877,KEEP
