상권_코드,상권_코드_명,행정동_코드_명,자치구_코드_명,lon,lat,최근접_역명,최근접_역_거리m
3110008,배화여자대학교(박노수미술관),청운효자동,종로구,126.9670895683088,37.580309438352536,독립문역,1039
3110009,자하문터널,부암동,종로구,126.96592808590958,37.595076378690685,홍제역,2046
3110010,평창동서측,평창동,종로구,126.96674832970702,37.60936632114107,홍제역,3037
3110017,정독도서관,가회동,종로구,126.98393465833044,37.583583539469174,광화문역,1485
3110018,중앙고등학교,가회동,종로구,126.98735391827724,37.58276405131138,혜화역,1291
3110019,창덕궁,종로1?2?3?4가동,종로구,126.9911927073349,37.575880806065335,종로3가역,614
3110020,서울국제고등학교,혜화동,종로구,126.9954484333874,37.58827871837829,혜화역,901
3110001,이북5도청사,평창동,종로구,126.95766519329227,37.60951658051797,불광역,2416
3110002,독립문역 1번,무악동,종로구,126.95720886112564,37.57574723987454,독립문역,156
3110003,세검정초등학교,부암동,종로구,126.95910679987408,37.60355253658663,홍제역,2108
3110004,대신고등학교,교남동,종로구,126.96057237511422,37.57318057632959,독립문역,275
3110035,동묘앞역 2번,숭인2동,종로구,127.01923329716882,37.57545610038485,동묘앞역,355
3110011,청운초등학교,청운효자동,종로구,126.96851328295918,37.58682400830492,독립문역,1664
3110012,성곡미술관,사직동,종로구,126.96934533653334,37.57330931964528,광화문역,652
3110013,체부동홍종문가옥,사직동,종로구,126.96988666293326,37.5783640380782,광화문역,945
3110014,경복고등학교,청운효자동,종로구,126.97151428391328,37.58512189400342,광화문역,1561
3110015,청와대사랑채,청운효자동,종로구,126.97265887241487,37.582157896694056,광화문역,1216
3110016,평창동동측,평창동,종로구,126.9753885072359,37.61294536602926,북한산보국문역,2905
3110005,세검정,부암동,종로구,126.96249418113779,37.60092276960329,홍제역,2108
3110006,부암동주민센터,부암동,종로구,126.96264586419525,37.591984983800906,홍제역,1671
3110007,사직공원(한국사회과학도서관),사직동,종로구,126.96485097296461,37.573965793267824,독립문역,615
3110037,신설동역 12번,숭인2동,종로구,127.02206413216838,37.577978389479746,신설동역,303
3110038,경향신문사,소공동,중구,126.96890652578769,37.56688510789925,서대문역,237
3110039,회현역 1번,회현동,중구,126.98081640265393,37.55822906707704,회현역,218
3110021,성균관대학교,혜화동,종로구,126.99727149747922,37.58353955150117,혜화역,445
3110022,경신고등학교,혜화동,종로구,126.99910555256606,37.587053452651496,혜화역,611
3110023,서울대병원,이화동,종로구,127.00157360371887,37.578935494743384,혜화역,348
3110024,혜화동주민센터,혜화동,종로구,127.00136998074275,37.587287706215974,한성대입구역,430
3110025,충신시장옆,종로5?6가동,종로구,127.00418850120057,37.57486293640551,종로5가역,492
3110026,종로5가역 4번,종로5?6가동,종로구,127.00539963254758,37.57295277820339,종로5가역,406
3110027,혜화역 1번,이화동,종로구,127.00573993541379,37.58211587382123,혜화역,335
3110028,이화달팽이길,이화동,종로구,127.0065092999959,37.57650264132745,동대문역,650
3110029,동대문역 1번,창신2동,종로구,127.01057331374025,37.576123929613566,동대문역,496
3110030,동대문역 3번,창신1동,종로구,127.01203322302788,37.57344783562387,동대문역,233
3110031,창신역 1번,창신3동,종로구,127.01469460184781,37.579376077698974,창신역,53
3110032,수족관거리,창신1동,종로구,127.01495320377123,37.570474218010425,동묘앞역,330
3110033,창신역 4번,숭인1동,종로구,127.01665273399279,37.57760986925303,창신역,234
3110034,창신1동주민센터,창신1동,종로구,127.01707000762674,37.57063611007315,동묘앞역,294
3110057,황학코아루아파트,황학동,중구,127.02278510211976,37.56630135637733,신당역,300
3110058,성심여자고등학교,원효로2동,용산구,126.95416739258842,37.53271444536362,효창공원앞역,973
3110059,새남터성지,이촌2동,용산구,126.95569888787642,37.52575028754142,효창공원앞역,1591
3110036,동묘앞역 3번,숭인2동,종로구,127.02018355835784,37.57305028574799,동묘앞역,338
3110040,중구회현체육센터(정화예술대남산캠퍼스),회현동,중구,126.98211844625749,37.55612994758037,회현역,438
3110041,남산케이블카,명동,중구,126.98482325928379,37.5564006254871,회현역,622
3110042,남산골공원옆,필동,중구,126.99507688426245,37.55658169774501,충무로역,542
3110043,충무초등학교,장충동,중구,127.00101862988308,37.560564203467166,충무로역,614
3110044,관성묘,장충동,중구,127.00332755313305,37.5612128786751,동대문역사문화공원역,705
3110045,동대문역사문화공원역 5번,장충동,중구,127.0049121791401,37.56238411905503,동대문역사문화공원역,514
3110046,버티고개,다산동,중구,127.0058168073455,37.55154507908497,약수역,556
3110047,다산성곽길,다산동,중구,127.00723173486928,37.55500483313109,약수역,328
3110048,장충동주민센터,장충동,중구,127.00847731320725,37.56099638199899,청구역,502
3110049,장충단 고개,다산동,중구,127.01016325011474,37.557527410235856,약수역,343
3110053,청구역 1번,신당동,중구,127.01265387519811,37.56191502489969,청구역,174
3110054,청구역 3번,청구동,중구,127.0132867887912,37.55677927222771,약수역,330
3110055,황학동벼룩시장,황학동,중구,127.01858665039832,37.56987904492781,동묘앞역,420
3110056,신당역 3번,신당5동,중구,127.02099573525913,37.562850872583056,신당역,342
3110079,후암동주민센터,후암동,용산구,126.97920022239718,37.55010179303207,숙대입구역,876
3110080,해방촌예술마을,후암동,용산구,126.98322952776942,37.54732735816679,숙대입구역,1027
3110081,해방촌 남동측,용산2가동,용산구,126.98454285856135,37.54411998050603,숙대입구역,1099
3110050,약수역 7번,약수동,중구,127.00982304292711,37.55236472210246,약수역,256
3110051,한양공고앞 교차로,신당동,중구,127.01128463101034,37.5637171567379,동대문역사문화공원역,296
3110052,장충초등학교,다산동,중구,127.01276666015386,37.55958143097188,청구역,193
3110060,효창공원앞역 6번,용문동,용산구,126.9585767524867,37.53824821820554,효창공원앞역,276
3110061,효창동주민센터,효창동,용산구,126.95936668628885,37.54211378231579,효창공원앞역,360
3110062,한강로동땡땡거리(은행나무길),한강로동,용산구,126.96202315666443,37.524986638584856,삼각지역,1426
3110063,효창공원앞역 5번,용문동,용산구,126.96268438684383,37.53747472736998,효창공원앞역,234
3110064,효창공원앞역 2번,효창동,용산구,126.96397191654081,37.54233151706997,효창공원앞역,406
3110082,용산구청,이태원1동,용산구,126.99108467693513,37.53246171216063,한강진역,1247
3110083,서빙고역 1번,서빙고동,용산구,126.99175350506796,37.52055952342269,서빙고역,315
3110084,경리단길북측,이태원2동,용산구,126.9913551393898,37.54173302689627,한강진역,944
3110085,경리단길남측,이태원2동,용산구,126.99162703817964,37.53875974659307,한강진역,903
3110086,이태원역 북측,이태원1동,용산구,126.99301894331595,37.53679565632451,한강진역,841
3110065,남정초등학교,원효로1동,용산구,126.96429155222101,37.53644808379058,효창공원앞역,408
3110066,서울역 15번,청파동,용산구,126.96694307959059,37.55314437161729,서울역,249
3110067,배문고등학교,청파동,용산구,126.96736357210598,37.54909900636352,서울역,516
