변수명,N,평균,중앙값,Q1,Q3,상관계수(r),R²,p-value,유의
카페음료_점포수,1077,14.51,8.0,5.0,15.0,0.5896,0.3476,0.0,***
공급갭_지수,1077,12.64,7.0,4.0,13.0,0.5381,0.2895,0.0,***
집객시설_수,1060,27.58,17.0,9.0,31.0,0.5285,0.2793,0.0,***
남성연령대_60_이상_직장_인구_수,1075,236.64,70.0,33.5,177.0,0.4667,0.2178,0.0,***
연령대_60_이상_직장_인구_수,1075,345.26,98.0,43.0,257.5,0.4594,0.2111,0.0,***
여성_직장_인구_수,1075,1616.0,290.0,135.0,854.0,0.4394,0.193,0.0,***
여성연령대_40_직장_인구_수,1075,358.01,73.0,35.0,193.0,0.4393,0.193,0.0,***
여성연령대_20_직장_인구_수,1075,410.21,54.0,19.0,181.0,0.4356,0.1898,0.0,***
총_직장_인구_수,1075,4171.29,736.0,341.5,2184.5,0.4348,0.189,0.0,***
연령대_50_직장_인구_수,1075,779.62,167.0,81.0,469.0,0.4332,0.1876,0.0,***
연령대_20_직장_인구_수,1075,759.58,99.0,33.5,344.0,0.433,0.1875,0.0,***
여성연령대_60_이상_직장_인구_수,1075,108.62,26.0,8.0,78.5,0.4307,0.1855,0.0,***
연령대_40_직장_인구_수,1075,1069.45,184.0,86.5,547.0,0.4301,0.185,0.0,***
시간대_14_17_유동인구_수,1076,137997.1,98897.0,52908.75,172387.0,0.4287,0.1838,0.0,***
남성연령대_50_직장_인구_수,1075,519.21,105.0,48.0,283.5,0.4285,0.1836,0.0,***
남성_직장_인구_수,1075,2555.29,433.0,196.0,1339.5,0.4269,0.1823,0.0,***
버스_정거장_수,1060,4.94,3.0,2.0,7.0,0.4257,0.1812,0.0,***
지하철_역_수,1060,0.24,0.0,0.0,0.0,0.4241,0.1798,0.0,***
여성연령대_30_직장_인구_수,1075,473.67,71.0,29.0,210.5,0.4231,0.179,0.0,***
남성연령대_20_직장_인구_수,1075,349.36,46.0,13.0,164.5,0.4211,0.1774,0.0,***
시간대_11_14_유동인구_수,1076,136293.44,99255.0,52798.75,170475.5,0.4211,0.1773,0.0,***
남성연령대_40_직장_인구_수,1075,711.44,109.0,48.0,343.0,0.4206,0.1769,0.0,***
연령대_30_직장_인구_수,1075,1209.01,173.0,69.0,533.0,0.4194,0.1759,0.0,***
남성연령대_30_직장_인구_수,1075,735.34,100.0,38.0,327.0,0.4092,0.1674,0.0,***
여성연령대_50_직장_인구_수,1075,260.41,62.0,30.0,161.0,0.403,0.1624,0.0,***
연령대_30_유동인구_수,1076,186499.32,130154.5,63884.25,232274.0,0.3836,0.1471,0.0,***
시간대_17_21_유동인구_수,1076,181083.3,132091.5,69095.5,231623.75,0.3814,0.1454,0.0,***
소득_구간_코드,1054,6.13,6.0,5.0,7.0,0.3699,0.1368,0.0,***
연령대_20_유동인구_수,1076,188790.03,116375.0,55310.25,231067.5,0.3609,0.1302,0.0,***
연령대_40_유동인구_수,1076,170781.79,124700.0,65240.5,222517.75,0.3566,0.1272,0.0,***
목요일_유동인구_수,1076,149350.53,113631.0,57816.0,198139.25,0.3415,0.1166,0.0,***
금요일_유동인구_수,1076,148702.14,112427.0,57572.75,196911.0,0.3393,0.1151,0.0,***
화요일_유동인구_수,1076,149029.56,113548.0,57428.25,197644.25,0.339,0.1149,0.0,***
수요일_유동인구_수,1076,149325.31,113667.0,57653.0,198432.0,0.3384,0.1145,0.0,***
월요일_유동인구_수,1076,148140.18,112234.5,57214.0,198024.75,0.3302,0.1091,0.0,***
남성_유동인구_수,1076,487129.42,367181.0,185472.0,652388.25,0.3263,0.1065,0.0,***
여성연령대_10_직장_인구_수,1075,5.07,0.0,0.0,0.0,0.3237,0.1048,0.0,***
연령대_10_직장_인구_수,1075,8.37,0.0,0.0,0.0,0.3223,0.1039,0.0,***
총_유동인구_수,1076,1029697.29,781292.5,403973.5,1392477.75,0.3185,0.1014,0.0,***
여성_유동인구_수,1076,542567.88,409690.0,210359.5,733917.75,0.3088,0.0953,0.0,***
시간대_06_11_유동인구_수,1076,209290.62,161126.5,80590.5,281928.75,0.306,0.0936,0.0,***
남성연령대_10_직장_인구_수,1075,3.3,0.0,0.0,0.0,0.3012,0.0907,0.0,***
토요일_유동인구_수,1076,143947.66,105995.5,54268.0,195856.25,0.2787,0.0776,0.0,***
연령대_50_유동인구_수,1076,149606.2,112986.0,57331.25,202811.25,0.2667,0.0711,0.0,***
스타벅스_리저브_수,1077,0.04,0.0,0.0,0.0,0.2553,0.0652,0.0,***
유동밀도_지수,1076,506961.0,368615.0,183306.25,701351.25,0.2403,0.0577,0.0,***
일요일_유동인구_수,1076,141201.97,105755.5,52917.75,196343.5,0.2306,0.0532,0.0,***
카페_검색지수,1077,2.02,1.07,0.53,2.55,0.2235,0.0499,0.0,***
시간대_21_24_유동인구_수,1076,125778.64,93574.5,46022.25,174210.0,0.2228,0.0496,0.0,***
여성연령대_20_상주인구_수,1072,287.82,196.0,85.0,372.0,0.1753,0.0307,0.0,***
연령대_10_유동인구_수,1076,129456.8,94453.5,46435.25,172849.0,0.1704,0.029,0.0,***
찻집_수,1077,0.18,0.0,0.0,0.0,0.1674,0.028,0.0,***
여성연령대_30_상주인구_수,1072,243.94,169.0,81.0,329.25,0.1651,0.0273,0.0,***
