,변수명,중요도
1,카페음료_점포수,0.23398948
2,집객시설_수,0.10915522
3,총_직장_인구_수,0.08093705
4,공급갭_지수,0.076350056
5,지하철_역_수,0.07467029
6,찻집_수,0.050123792
7,월_평균_소득_금액,0.04494777
8,지하철_노선_수,0.03557216
9,여가소비_지수,0.033362653
10,지출_총금액,0.032170836
11,상주밀도_지수,0.030193195
12,아파트_평균_시가,0.029384136
13,여가_지출_총금액,0.027742507
14,스타벅스_리저브_수,0.024709092
15,카페_검색지수,0.024247492
16,총_가구_수,0.022164216
17,총_상주인구_수,0.021462994
18,유동밀도_지수,0.015968336
19,총_유동인구_수,0.013239776
20,카페_개업률,0.009939491
21,유동인구_성장률,0.005259526
22,검색량_성장률,0.0044099377
