블루오션_랭킹,q2_score,q1_score,q2_residual_score,q2_supply_score,q1_residual_score,q1_supply_score,상권_코드,상권_코드_명,상권유형,residual_latest,residual_avg,supply_shortage,cafe_revenue_per_store,카페음료_점포수,찻집수_latest,매출_latest,사분면,구조적블루오션
1,0.8146718146718146,0.4314671814671815,0.8832046332046332,0.7461389961389961,0.1167953667953668,0.7461389961389961,3001495,잠실 관광특구,관광특구,-1.5675414422243603,-1.3011803723276378,1.0,89419291.2084656,117.125,0,10562653774,Q2_잠재수요미실현,True
2,0.7866795366795367,0.4777992277992278,0.8088803088803089,0.7644787644787645,0.19111969111969113,0.7644787644787645,3120220,대치역,발달상권,-1.0053919942538876,-1.2289932677003077,1.0,126614946.23529412,7.5,0,1076227043,Q2_잠재수요미실현,True
3,0.7661679536679536,0.2989864864864865,0.9671814671814671,0.5651544401544402,0.032818532818532815,0.5651544401544402,3120216,경기고교사거리(경기고교앞사거리),발달상권,-2.8314073176909247,-2.942948118391728,1.0,18919614.333333332,2.0,0,56758843,Q2_잠재수요미실현,True
4,0.7601351351351351,0.4444980694980695,0.8156370656370656,0.7046332046332047,0.18436293436293436,0.7046332046332047,3120061,올림픽대교북단,발달상권,-1.0937643829066983,-1.4247729643544231,1.0,59238415.52941176,1.125,0,125881633,Q2_잠재수요미실현,True
5,0.7589285714285714,0.26182432432432434,0.997104247104247,0.5207528957528957,0.0028957528957528956,0.5207528957528957,3120189,강남역,발달상권,-5.927396115624255,-6.322566639836882,0.5,125780518.89516129,123.0,1,15596784343,Q3_저성과포화,True
6,0.7538610038610039,0.38223938223938225,0.8716216216216216,0.6361003861003861,0.12837837837837837,0.6361003861003861,3120223,휘문고교사거리,발달상권,-1.4382199739905277,-1.6154663013744823,1.0,32314446.48888889,10.25,0,363537523,Q2_잠재수요미실현,True
7,0.743484555984556,0.4886583011583012,0.7548262548262548,0.7321428571428572,0.24517374517374518,0.7321428571428572,3120179,양재역,발달상권,-0.7179895796943647,-0.8040464588455648,1.0,73204344.19656019,49.875,0,3724271011,Q2_잠재수요미실현,True
8,0.7427606177606177,0.3836872586872587,0.859073359073359,0.6264478764478765,0.14092664092664092,0.6264478764478765,3120095,홍제역,발달상권,-1.339255841416545,-1.1518769868369398,1.0,30726678.57142857,6.0,0,215086750,Q2_잠재수요미실현,True
9,0.7396235521235521,0.44136100386100385,0.7982625482625483,0.680984555984556,0.20173745173745175,0.680984555984556,3120150,63빌딩,발달상권,-0.939350309393614,-0.9414783813738686,1.0,46098050.15384615,5.5,0,299637326,Q2_잠재수요미실현,True
10,0.7302123552123552,0.49469111969111973,0.7355212355212355,0.724903474903475,0.2644787644787645,0.724903474903475,3120241,거여역,발달상권,-0.6154693938309919,-0.2382360515388586,1.0,68374336.0,2.875,0,264950552,Q2_잠재수요미실현,True
11,0.7203185328185329,0.4790057915057915,0.7413127413127414,0.6993243243243243,0.25868725868725867,0.6993243243243243,3120157,신림역(신림),발달상권,-0.6525132238120861,-0.6926339980298961,1.0,55500651.84680851,28.375,0,1630331648,Q2_잠재수요미실현,True
12,0.7179054054054055,0.4032335907335907,0.8146718146718147,0.6211389961389961,0.18532818532818532,0.6211389961389961,3130059,후암시장,전통시장,-1.086513367116865,-0.8869405383270738,1.0,29651726.0,2.0,0,88955178,Q2_잠재수요미실현,True
