Q2_순위,상권_코드_명,상권유형,supply_pct,q2_score,residual_latest,supply_shortage,cafe_revenue_per_store,카페음료_점포수,찻집수_latest,매출_latest,사분면,구조적블루오션
1,서울역,발달상권,0.7702702702702703,0.7118725868725868,-0.350104715480942,1.0,155472137.4864865,36.0,0,5752469087,Q2_잠재수요미실현,True
2,대치역,발달상권,0.7688223938223939,0.7888513513513514,-1.0053919942538876,1.0,153746720.42857143,6.0,0,1076227043,Q2_잠재수요미실현,True
3,상봉역,발달상권,0.7615830115830116,0.652027027027027,-0.0173344152997749,1.0,129473300.75,11.0,0,1553679609,Q2_잠재수요미실현,True
4,충정로역,발달상권,0.7601351351351351,0.6691602316602316,-0.1001102925712267,1.0,126751367.83333331,5.0,0,760508207,Q2_잠재수요미실현,True
5,응암역,발달상권,0.7577220077220077,0.6674710424710425,-0.0951895755499023,1.0,113256703.66666669,2.0,0,339770111,Q2_잠재수요미실현,True
6,포스코사거리,발달상권,0.7572393822393823,0.6706081081081081,-0.1098148817084414,1.0,112704459.95774648,70.0,0,8002016657,Q2_잠재수요미실현,True
7,영등포역(영등포),발달상권,0.7553088803088803,0.6923262548262549,-0.2533887563030461,1.0,107500346.59523807,41.0,0,4515014557,Q2_잠재수요미실현,True
8,잠실 관광특구,관광특구,0.7504826254826256,0.8168436293436294,-1.5675414422243603,1.0,95159043.009009,110.0,0,10562653774,Q2_잠재수요미실현,True
9,거여역,발달상권,0.7442084942084942,0.7398648648648649,-0.6154693938309919,1.0,88316850.66666667,2.0,0,264950552,Q2_잠재수요미실현,True
10,양재역,발달상권,0.7422779922779923,0.7485521235521235,-0.7179895796943647,1.0,86610953.74418604,42.0,0,3724271011,Q2_잠재수요미실현,True
11,역삼역,발달상권,0.737934362934363,0.6995656370656371,-0.3648625226314088,1.0,82817445.97037037,134.0,0,11180355206,Q2_잠재수요미실현,True
12,교대역(법원.검찰청),발달상권,0.7306949806949807,0.6988416988416989,-0.3787381400825396,1.0,78255551.29166667,71.0,0,5634399693,Q2_잠재수요미실현,True
13,가산디지털단지,발달상권,0.7287644787644788,0.6751930501930502,-0.2330394738760226,1.0,74599326.81666666,179.0,0,13427878827,Q2_잠재수요미실현,True
14,굽은다리역,발달상권,0.7282818532818534,0.7362451737451738,-0.6627262840815327,1.0,74316630.66666667,2.0,0,222949892,Q2_잠재수요미실현,True
15,종로·청계 관광특구,관광특구,0.722972972972973,0.627895752895753,-0.001913631793009,1.0,69610406.14285715,111.0,0,7796365488,Q2_잠재수요미실현,False
16,공덕역(공덕오거리),발달상권,0.722007722007722,0.7012548262548262,-0.4592592434644125,1.0,69318926.25,23.0,0,1663654230,Q2_잠재수요미실현,True
17,동묘앞역(동묘),발달상권,0.721042471042471,0.6346525096525096,-0.0280795229722805,1.0,68670409.57142857,6.0,0,480692867,Q2_잠재수요미실현,True
18,독산동,발달상권,0.7133204633204633,0.6698841698841699,-0.245686086891478,1.0,63868504.0,17.0,0,1149633072,Q2_잠재수요미실현,True
19,송정역,발달상권,0.7113899613899615,0.7022200772200773,-0.5021638140250211,1.0,63029525.5,3.0,0,252118102,Q2_잠재수요미실현,True
20,양평역,발달상권,0.7084942084942085,0.681949806949807,-0.3518979419431964,1.0,61806760.5,3.0,0,247227042,Q2_잠재수요미실현,True
21,천호역,발달상권,0.7075289575289576,0.6447876447876448,-0.1073362311901462,1.0,61625714.86666667,29.0,0,1848771446,Q2_잠재수요미실현,True
22,뱅뱅사거리,발달상권,0.7060810810810811,0.6493725868725869,-0.1257975941350118,1.0,60843170.11594203,68.0,0,4198178738,Q2_잠재수요미실현,False
23,서울대입구역,발달상권,0.7051158301158301,0.7010135135135136,-0.5174035201986484,1.0,60530241.09677419,30.0,0,1876437474,Q2_잠재수요미실현,True
24,신사역,발달상권,0.7041505791505791,0.67253861003861,-0.309275184398146,1.0,60114455.1754386,56.0,0,3426523945,Q2_잠재수요미실현,True
25,종로4가,발달상권,0.7036679536679538,0.7171814671814672,-0.6064517522820623,1.0,59918076.777777776,8.0,0,539262691,Q2_잠재수요미실현,True
26,신림역(신림),발달상권,0.7007722007722008,0.7210424710424711,-0.6525132238120861,1.0,58226130.28571428,27.0,0,1630331648,Q2_잠재수요미실현,True
27,연신내역,발달상권,0.696911196911197,0.6973938223938224,-0.5183126031443557,1.0,56137755.45454545,10.0,0,617515310,Q2_잠재수요미실현,True
28,오류동역,발달상권,0.6964285714285714,0.6957046332046332,-0.5110038209260068,1.0,56086660.5,7.0,0,448693284,Q2_잠재수요미실현,True
29,"총신대입구역(이수, 총신대)",발달상권,0.6867760617760619,0.7010135135135136,-0.5559722548704755,1.0,52354534.02702703,36.0,0,1937117759,Q2_잠재수요미실현,True
30,서울시흥동우체국(홈플러스시흥점),발달상권,0.680984555984556,0.7053571428571428,-0.6034775519900535,1.0,49173088.25,3.0,0,196692353,Q2_잠재수요미실현,True
