상권_코드,상권_코드_명,상권유형,자치구_코드_명,lon,lat,사분면,사분면_레이블,블루오션여부,구조적블루오션,residual_latest,residual_avg,supply_shortage,q1_score,q2_score,찻집수_latest,매출_latest,카페음료_점포수,cafe_revenue_per_store,통합순위_top30,피타고라스거리
3001495,잠실 관광특구,관광특구,송파구,127.1152409425314,37.51643105790915,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-1.5675414422243603,-1.3011803723276378,1.0,0.4336389961389962,0.8168436293436294,0,10562653774,110.0,95159043.009009,,
3120220,대치역,발달상권,강남구,127.06228493383824,37.49418899631532,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-1.0053919942538876,-1.2289932677003077,1.0,0.4799710424710425,0.7888513513513514,0,1076227043,6.0,153746720.42857143,,
3120216,경기고교사거리(경기고교앞사거리),발달상권,강남구,127.05661702641068,37.5207534720842,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-2.8314073176909247,-2.942948118391728,1.0,0.2965733590733591,0.7637548262548263,0,56758843,2.0,18919614.33333333,,
3120189,강남역,발달상권,서초구,127.02775129423334,37.497571920870165,Q3_저성과포화,Q3_저성과포화,일반,True,-5.927396115624255,-6.322566639836882,0.5,0.2618243243243243,0.7589285714285714,1,15596784343,115.0,134455037.43965518,,
3120179,양재역,발달상권,서초구,127.03403294046716,37.48449666006025,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-0.7179895796943647,-0.8040464588455648,1.0,0.4937258687258687,0.7485521235521235,0,3724271011,42.0,86610953.74418604,,
3120223,휘문고교사거리,발달상권,강남구,127.06566363237532,37.50434150525624,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-1.4382199739905277,-1.6154663013744823,1.0,0.3730694980694981,0.7446911196911197,0,363537523,11.0,30294793.58333333,,
3120095,홍제역,발달상권,서대문구,126.94474718990185,37.58822983459291,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-1.339255841416545,-1.1518769868369398,1.0,0.381515444015444,0.740588803088803,0,215086750,6.0,30726678.57142857,,
3120241,거여역,발달상권,송파구,127.1455437075945,37.49283633341059,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-0.6154693938309919,-0.2382360515388586,1.0,0.5043436293436294,0.7398648648648649,0,264950552,2.0,88316850.66666667,,
3120061,올림픽대교북단,발달상권,광진구,127.09581633739666,37.540721391082606,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-1.0937643829066983,-1.4247729643544231,1.0,0.4242277992277992,0.7398648648648649,0,125881633,2.0,41960544.333333336,,
3120247,굽은다리역,발달상권,강동구,127.14264794652551,37.545818808928665,Q2_잠재수요미실현,Q2_잠재수요미실현,일반,True,-0.6627262840815327,-0.8185664842650762,1.0,0.4920366795366795,0.7362451737451738,0,222949892,2.0,74316630.66666667,,
