기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20233,A,골목상권,3110001,이북5도청사,4354652,8,520427635,129126028,64853632,37122367,65974602,88343761,22223650,14656697,76185341,21941557
20233,A,골목상권,3110002,독립문역 1번,3463885,7,232465205,54998987,28932090,17084860,28271372,40933079,10180461,6575012,35805283,9684061
20233,A,골목상권,3110003,세검정초등학교,3474789,7,1349699230,336704220,166150296,98720958,170559024,227367090,54707608,39088030,199219764,57182240
20233,A,골목상권,3110004,대신고등학교,2644953,6,712772785,205649728,84170011,51668351,100817261,111843712,23406627,22615164,82865155,29736776
20233,A,골목상권,3110005,세검정,3768541,8,884701599,221446948,109882417,64738346,111988892,149822911,37478670,25606895,126544371,37192149
20233,A,골목상권,3110006,부암동주민센터,3963935,8,267177363,71242932,32618743,19192280,36992515,42702682,11024632,7714004,34834591,10854984
20233,A,골목상권,3110007,사직공원(한국사회과학도서관),2770422,6,1357989746,348226174,164289545,100434478,171335953,225229175,49504697,40857513,200194461,57917750
20233,A,골목상권,3110008,배화여자대학교(박노수미술관),3443668,7,2746062777,683186826,329541269,198922162,341873952,461869492,103948914,80125777,434007126,112587259
20233,A,골목상권,3110009,자하문터널,3702978,7,982492942,236811262,122600914,72225683,119525631,171575865,41212214,28357226,148304362,41879785
20233,A,골목상권,3110010,평창동서측,4492856,8,2243586695,538964071,281544320,169148070,283258355,404132363,96928651,63144544,309164149,97302172
20233,A,골목상권,3110011,청운초등학교,4237174,8,284960476,72815096,33939883,20375958,37447312,48549219,9846527,8188528,41677963,12119990
20233,A,골목상권,3110012,성곡미술관,5448355,9,1224738411,273854172,152375434,97840852,143955451,223172184,55335090,34182648,193085753,50936827
20233,A,골목상권,3110013,체부동홍종문가옥,3732442,7,190109278,47549857,23715458,14588549,23273330,31499997,8440927,5717126,27452725,7871309
20233,A,골목상권,3110014,경복고등학교,5290159,9,246628270,60033663,29847166,17931705,30512782,42137551,9425497,7095605,39330058,10314243
20233,A,골목상권,3110015,청와대사랑채,3980058,8,340654450,82062934,41584595,24596132,41047707,58114084,13813568,9787602,55694208,13953620
20233,A,골목상권,3110016,평창동동측,4884771,8,1635958594,408705625,205647377,128448029,224885242,302457726,67401456,46565711,178212076,73635352
20233,A,골목상권,3110017,정독도서관,3978549,8,488287266,130969540,58775262,35505747,66069945,78411323,18545568,14438314,65414259,20157308
20233,A,골목상권,3110018,중앙고등학교,3430192,7,1569319603,412408387,186273004,112912049,206502191,255458150,55128487,46917612,228907288,64812435
20233,A,골목상권,3110019,창덕궁,2496875,6,266124846,88835562,30923562,19943040,44779439,36997427,8813062,8884951,15987046,10960757
20233,A,골목상권,3110020,서울국제고등학교,2736810,6,1893277180,452132567,252800465,124254004,230932468,243437040,68238981,71326707,354675459,95479489
20233,A,골목상권,3110021,성균관대학교,2902668,6,1062083531,242915806,149142873,64336647,128741468,119906366,38074560,43410868,217013206,58541737
20233,A,골목상권,3110022,경신고등학교,3478003,7,879563907,213067686,112630640,67054373,103617117,141197378,35771940,28983203,137249616,39991954
