원본_상권명,검색어
종로3가역,종로3가역 카페
종각역,종각역 카페
동대부여고,동대부여고 카페
금천해태공원,금천해태공원 카페
상도역 2번,상도역 카페
교대역(법원.검찰청),교대역 카페
대치사거리,대치사거리 카페
영등포구청역 6번,영등포구청역 카페
상봉역 3번,상봉역 카페
장신구 특화거리 상점가,장신구 특화거리 카페
세종대학교,세종대학교 카페
상봉역 4번,상봉역 카페
아현가구거리상점가,아현가구거리 카페
천호역,천호역 카페
둔촌동역 4번,둔촌동역 카페
체부동홍종문가옥,체부동홍종문가옥 카페
자양한강도서관,자양한강도서관 카페
장미제일시장(중화동제일시장),장미제일시장 카페
능동로골목시장,능동로골목시장 카페
신창초등학교,신창초등학교 카페
경의중앙 신촌역,경의중앙 신촌역 카페
봉원사,봉원사 카페
방화역 3번,방화역 카페
은천초등학교(은천교앞),은천초등학교 카페
로데오거리상점가,로데오거리 카페
경리단길북측,경리단길북측 카페
"중곡제일시장(중곡제일골목시장, 광성시장)",중곡제일시장 카페
삼전역 3번,삼전역 카페
신림역(신림),신림역 카페
해오름공원,해오름공원 카페
KB국민은행 서강지점,KB국민은행 서강지점 카페
염곡동 구룡사(포이동성당),염곡동 구룡사 카페
남산케이블카,남산케이블카 카페
답십리사거리,답십리사거리 카페
북정마을,북정마을 카페
자하문터널,자하문터널 카페
청량초등학교,청량초등학교 카페
당고개역 2번,당고개역 카페
개봉역,개봉역 카페
영림시장,영림시장 카페
한양대역 4번,한양대역 카페
정릉역 1번,정릉역 카페
합정역 8번,합정역 카페
영등포푸르지오아파트,영등포푸르지오아파트 카페
목동신시가지,목동신시가지 카페
성수1가1동주민센터,성수1가1동주민센터 카페
장안현대홈타운1차아파트,장안현대홈타운1차아파트 카페
장안근린공원,장안근린공원 카페
신논현역 1번,신논현역 카페
학동역,학동역 카페
선일여고,선일여고 카페
대방역 3번,대방역 카페
방산종합시장(방산시장),방산종합시장 카페
서울약령시장,서울약령시장 카페
삼양사거리역 2번,삼양사거리역 카페
오류2동버들시장,오류2동버들시장 카페
방배노인종합복지관(이수중학교),방배노인종합복지관 카페
충무초등학교,충무초등학교 카페
동대문역사문화공원역 5번,동대문역사문화공원역 카페
상왕십리역 3번,상왕십리역 카페
신곡종합시장(신월6동 골목시장),신곡종합시장 카페
장스여성병원,장스여성병원 카페
홍익대,홍익대 카페
숭실대입구역 1번,숭실대입구역 카페
둔촌고등학교(둔촌중학교),둔촌고등학교 카페
상월곡역 3번,상월곡역 카페
서울역,서울역 카페
목동로데오거리,목동로데오거리 카페
4.19민주묘지역 2번,4.19민주묘지역 카페
인수동 우편취급국,인수동 우편취급국 카페
백련산해모로아파트,백련산해모로아파트 카페
동일여자고등학교,동일여자고등학교 카페
삼성역,삼성역 카페
영동대교남단교차로,영동대교남단교차로 카페
상일여고(상일초등학교),상일여고 카페
남영동 먹자골목,남영동 먹자골목 카페
"숙대입구역(남영역, 남영동)",숙대입구역 카페
구의사거리,구의사거리 카페
오!도봉거리 상점가,오!도봉거리 카페
명지대학교,명지대학교 카페
강서구청가양동별관,강서구청가양동별관 카페
압구정로데오역(압구정로데오),압구정로데오역 카페
강동구청(강동구청역 2번),강동구청 카페
효창공원앞역 5번,효창공원앞역 카페
방학역 2번,방학역 카페
이화사거리,이화사거리 카페
샤로수길,샤로수길 카페
오금역 4번,오금역 카페
석촌중학교(방이육교),석촌중학교 카페
중랑역 4번,중랑역 카페
중랑역 1번,중랑역 카페
송화벽화시장(송화골목시장),송화벽화시장 카페
당산역 8번,당산역 카페
대림성모병원,대림성모병원 카페
강남 마이스 관광특구,강남 마이스 관광특구 카페
마천1치안센터,마천1치안센터 카페
암사동성당(효정하나플러스아파트),암사동성당 카페
삼선동주민센터,삼선동주민센터 카페
신방화역 2번,신방화역 카페
대림역 5번,대림역 카페
가인초등학교,가인초등학교 카페
마포구청역 4번,마포구청역 카페
마포FM,마포FM 카페
새터산,새터산 카페
방이동고분군(방산고등학교),방이동고분군 카페
경동고등학교,경동고등학교 카페
가좌역 2번,가좌역 카페
신수동주민센터,신수동주민센터 카페
까치산역 4번,까치산역 카페
삼각지역,삼각지역 카페
한남오거리,한남오거리 카페
남부초등학교,남부초등학교 카페
양재화물트럭터미널앞,양재화물트럭터미널앞 카페
북촌(안국역),북촌 카페
장충초등학교,장충초등학교 카페
신당역,신당역 카페
홍대부중,홍대부중 카페
공덕시장,공덕시장 카페
석촌역 3번,석촌역 카페
안암역,안암역 카페
마들역,마들역 카페
대흥역 2번,대흥역 카페
북창동(시청역_6번),북창동 카페
마포역,마포역 카페
개봉동 현대아파트,개봉동 현대아파트 카페
"한양대앞상점가(한양시장, 왕십리맛골목)",한양대앞 카페
고척동성당,고척동성당 카페
대진고등학교,대진고등학교 카페
구로디지털단지,구로디지털단지 카페
G타워,G타워 카페
삼전역 1번,삼전역 카페
전농119안전센터,전농119안전센터 카페
종암동주민센터,종암동주민센터 카페
언주역 3번,언주역 카페
새마을시장,새마을시장 카페
성수초등학교,성수초등학교 카페
내방역,내방역 카페
강남언주로,강남언주로 카페
응봉산,응봉산 카페
신정롯데캐슬아파트,신정롯데캐슬아파트 카페
양지어린이공원,양지어린이공원 카페
고덕중학교(고덕2동주민센터),고덕중학교 카페
가산초등학교(세일중학교),가산초등학교 카페
방배동카페골목,방배동카페골목 카페
방배동사이길,방배동사이길 카페
명동 남대문 북창동 다동 무교동 관광특구,명동 남대문 북창동 다동 무교동 관광특구 카페
광진정보도서관,광진정보도서관 카페
사가정역 1번,사가정역 카페
서일대학교,서일대학교 카페
증산역 1번,증산역 카페
상도약수골목형상점가,상도약수골목형 카페
대치동아우편취급국,대치동아우편취급국 카페
청담사거리(청담동명품거리),청담사거리 카페
창덕궁,창덕궁 카페
면목역 3번,면목역 카페
오산중학교,오산중학교 카페
도봉산입구,도봉산입구 카페
양재역,양재역 카페
푸른동산공원,푸른동산공원 카페
망원역 1번,망원역 카페
홍대 걷고싶은 거리,홍대 걷고싶은 거리 카페
종로5가역 4번,종로5가역 카페
창신골목시장,창신골목시장 카페
녹두거리(대학동),녹두거리 카페
굽은다리역 1번(십자성마을),굽은다리역 카페
중곡1동 마을마당,중곡1동 마을마당 카페
이대 앞 스타트업 상점가,이대 앞 스타트업 카페
천호지구대(천호동자전거거리),천호지구대 카페
천호태영아파트,천호태영아파트 카페
공릉동 도깨비시장,공릉동 도깨비시장 카페
중구청(퇴계로4가),중구청 카페
서울역 15번,서울역 카페
석촌고분역,석촌고분역 카페
서울과학기술대,서울과학기술대 카페
홍연시장,홍연시장 카페
서강대역 1번,서강대역 카페
석계역 7번,석계역 카페
석촌시장,석촌시장 카페
안암역 3번,안암역 카페
KT구로지사,KT구로지사 카페
신대방역 2번,신대방역 카페
포이사거리(삼호물산),포이사거리 카페
성곡미술관,성곡미술관 카페
을지로3가역,을지로3가역 카페
삼광초등학교,삼광초등학교 카페
금북초등학교,금북초등학교 카페
계상초등학교,계상초등학교 카페
서울서부지방법원,서울서부지방법원 카페
세곡초등학교,세곡초등학교 카페
월곡역,월곡역 카페
경향신문사,경향신문사 카페
상월곡역 2번,상월곡역 카페
마포역 4번,마포역 카페
구로초등학교,구로초등학교 카페
동평화시장,동평화시장 카페
답십리공원,답십리공원 카페
전농중학교,전농중학교 카페
종암경찰서,종암경찰서 카페
연신내역 5번,연신내역 카페
구로4동주민센터,구로4동주민센터 카페
구로보건소,구로보건소 카페
경희대삼거리,경희대삼거리 카페
이수역 9번,이수역 카페
문정동성당,문정동성당 카페
묘곡초등학교(고덕아이파크아파트),묘곡초등학교 카페
"수유전통시장(수유시장, 수유골목시장)",수유전통시장 카페
총신대학교,총신대학교 카페
삼육보건대학교,삼육보건대학교 카페
고덕동성당,고덕동성당 카페
천동초등학교,천동초등학교 카페
"황학시장(서울중앙시장, 신중앙시장)",황학시장 카페
러스크서울병원,러스크서울병원 카페
신정역 5번,신정역 카페
서래초등학교,서래초등학교 카페
중구회현체육센터(정화예술대남산캠퍼스),중구회현체육센터 카페
중랑동부시장,중랑동부시장 카페
강북중학교,강북중학교 카페
무너미어린이공원,무너미어린이공원 카페
북한산우이역 2번,북한산우이역 카페
홍대소상공인상점가,홍대소상공인 카페
시흥초등학교(시흥1동우체국),시흥초등학교 카페
장승배기역,장승배기역 카페
교대입구교차로,교대입구교차로 카페
서초동성당,서초동성당 카페
은마아파트,은마아파트 카페
도곡초등학교,도곡초등학교 카페
대청초등학교,대청초등학교 카페
명일역 1번,명일역 카페
신대방역 4번,신대방역 카페
구남초등학교,구남초등학교 카페
시흥4동주민센터(서울신흥초등학교),시흥4동주민센터 카페
한울중학교,한울중학교 카페
투구봉어린이공원,투구봉어린이공원 카페
용산용문시장,용산용문시장 카페
등촌역,등촌역 카페
당산반도유보라팰리스아파트,당산반도유보라팰리스아파트 카페
신중초등학교,신중초등학교 카페
경찰병원역 4번(건너말공원),경찰병원역 카페
둔촌동역 3번(성내3동주민센터),둔촌동역 카페
서촌(경복궁역),서촌 카페
장안중학교,장안중학교 카페
중화역 4번,중화역 카페
사당역(사당),사당역 카페
구립대학경로당(관악산샘말공원),구립대학경로당 카페
서초역,서초역 카페
문정역,문정역 카페
충정로역,충정로역 카페
신림현대아파트,신림현대아파트 카페
영락고등학교,영락고등학교 카페
배문고등학교,배문고등학교 카페
화곡중앙시장,화곡중앙시장 카페
석촌고분역 4번,석촌고분역 카페
후암동주민센터,후암동주민센터 카페
상계2동주민센터,상계2동주민센터 카페
서울여자간호대학교,서울여자간호대학교 카페
화곡역 4번,화곡역 카페
63빌딩,63빌딩 카페
금호역,금호역 카페
당고개역 5번,당고개역 카페
개봉1동주민센터,개봉1동주민센터 카페
영등포역(영등포),영등포역 카페
봉천역 1번(관악초등학교),봉천역 카페
사직공원(한국사회과학도서관),사직공원 카페
뚝섬역상점가,뚝섬역 카페
삼호가든사거리,삼호가든사거리 카페
언주역(차병원),언주역 카페
오동나무공원(송파레미니스1단지),오동나무공원 카페
오목교역,오목교역 카페
남구로시장,남구로시장 카페
노량진역(노량진),노량진역 카페
신설동역 12번,신설동역 카페
미아역,미아역 카페
갈현건영아파트,갈현건영아파트 카페
반포4동주민센터(몽마르뜨공원),반포4동주민센터 카페
구반포역,구반포역 카페
청량리전통시장,청량리전통시장 카페
신월2동주민센터,신월2동주민센터 카페
서울공연예술고등학교,서울공연예술고등학교 카페
무학봉상점가,무학봉 카페
송중초등학교,송중초등학교 카페
숭인시장,숭인시장 카페
연신초등학교,연신초등학교 카페
상수역 4번,상수역 카페
행당시장상점가,행당시장 카페
새절역 3번,새절역 카페
둔촌2동주민센터,둔촌2동주민센터 카페
선정릉역 4번,선정릉역 카페
남대문시장(자유상가),남대문시장 카페
사가정역,사가정역 카페
사가정시장,사가정시장 카페
우리은행응암동지점,우리은행응암동지점 카페
은평세무서,은평세무서 카페
목동역 8번출구,목동역 카페
서울시흥동우체국(홈플러스시흥점),서울시흥동우체국 카페
비단길현대시장(현대시장),비단길현대시장 카페
상도초등학교,상도초등학교 카페
한영중고,한영중고 카페
송정역 3번,송정역 카페
먹골역 5번,먹골역 카페
방학역 1번,방학역 카페
구파발역,구파발역 카페
은행나무시장,은행나무시장 카페
보라매역 2번,보라매역 카페
보라매역,보라매역 카페
강동구청역,강동구청역 카페
종로5가역,종로5가역 카페
