가게명,카테고리,지번주소,도로명주소,전화번호,lon,lat,카카오_url,검색어,tm_x,tm_y,상권_코드,상권_코드_명,nearest_dist_m
다심헌,음식점 > 카페 > 전통찻집,서울 종로구 옥인동 104,서울 종로구 옥인길 8,02-537-9948,126.96806077211444,37.58065208276528,http://place.map.kakao.com/16557435,청운효자동 찻집,197178.79999998363,453456.0000006781,3110008,배화여자대학교(박노수미술관),93.83837194201696
전통문화원,음식점 > 카페 > 전통찻집,서울 종로구 통인동 111,서울 종로구 자하문로 51,02-722-8254,126.970886578474,37.5805302783619,http://place.map.kakao.com/11377187,청운효자동 찻집,197428.40000000605,453442.4000006825,3130001,통인시장,77.68088562784985
호전다실,음식점 > 카페 > 전통찻집,서울 종로구 통인동 130,서울 종로구 자하문로11길 16-2,02-722-1007,126.970443079391,37.579798561157,http://place.map.kakao.com/1826221826,청운효자동 찻집,197389.1999999897,453361.2000006784,3130001,통인시장,95.75009075762324
서울서둘째로잘하는집,음식점 > 카페 > 전통찻집,서울 종로구 삼청동 28-21,서울 종로구 삼청로 122-1,02-734-5302,126.9818338546895,37.5862501745141,http://place.map.kakao.com/7941905,청운효자동 찻집,198395.49999998917,454077.0000006692,3120005,삼청동,313.5733572994297
연경당,음식점 > 카페 > 전통찻집,서울 종로구 팔판동 39,서울 종로구 팔판길 26,0507-1346-9587,126.98126292037544,37.58295245025109,http://place.map.kakao.com/1720131109,청운효자동 찻집,198344.99999999988,453711.00000001735,3120005,삼청동,62.641839036815504
차마시는뜰 차뜰,음식점 > 카페 > 전통찻집,서울 종로구 삼청동 35-169,서울 종로구 북촌로11나길 26,02-722-7006,126.98226506208036,37.582155225838505,http://place.map.kakao.com/2047830907,청운효자동 찻집,198433.49999998944,453622.5000006758,3120005,삼청동,182.741620319636
다담찻집,음식점 > 카페 > 전통찻집,서울 종로구 화동 40-1,서울 종로구 삼청로 76,070-4140-2252,126.981854099593,37.5821407474772,http://place.map.kakao.com/309966512,청운효자동 찻집,198397.1999999741,453620.9000000136,3120005,삼청동,165.70470721221687
다연,음식점 > 카페 > 전통찻집,서울 종로구 소격동 61,서울 종로구 삼청로 48-12,,126.98057296221528,37.58043856653446,http://place.map.kakao.com/1922722948,청운효자동 찻집,198283.9999999896,453432.0000006773,3120005,삼청동,341.7162558932786
동양차문화관,음식점 > 카페 > 전통찻집,서울 종로구 삼청동 35-91,서울 종로구 북촌로11길 76,,126.983592684909,37.5838628003638,http://place.map.kakao.com/844782189,청운효자동 찻집,198550.7999999613,453812.0000006744,3110017,정독도서관,43.278632651085246
월하보이,음식점 > 카페 > 전통찻집,서울 종로구 화동 118-2,서울 종로구 북촌로5길 26,0507-1349-2340,126.983561939184,37.5795200068365,http://place.map.kakao.com/1278859863,청운효자동 찻집,198548.0000000263,453330.0000006831,3120007,북촌(안국역),197.10149680935896
금정헌,음식점 > 카페 > 전통찻집,서울 종로구 가회동 31-22,서울 종로구 북촌로11길 32,02-763-2977,126.983697187403,37.5822878783646,http://place.map.kakao.com/1314617647,청운효자동 찻집,198560.0000000056,453637.2000006778,3110017,정독도서관,145.32528962578172
