기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,1분기_평균,2분기_평균,3분기_평균,4분기_평균,3개년_총평균,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,QUARTER_NUM
20233,D,발달상권,3120009,종로3가역,6054668341,7679188547,6913514223,6669324059,6838544951,6074922234,725072,4203007469,1871914765,816176117,776023811,846191512,822131588,942484441,1181814026,690100739,10088529,632701627,1765044136,1609034504,1570472013,487581425,2614786788,3150460016,56234724,1609918587,1482503244,891634094,954769153,770186997,548538,176534,112987,104535,109368,105358,116290,112953,63581,279,157587,229569,177205,138441,21991,344831,355227,6989,189843,179809,108326,120199,94902,3
20233,D,발달상권,3120006,종각역,6643864644,7281746835,7265532334,7304441282,7139633614,7457431026,1010502,6421696219,1035734807,1233755528,1282366366,1331255740,1263008268,1311310317,663675248,372059559,22234787,1367176019,3275617443,1392955851,1075211246,324235680,2853937697,2843408958,35614912,1241864379,1881153073,1355303718,840032510,343378062,885688,124814,180208,174233,182969,173416,174862,80252,44562,504,310738,395830,169672,113323,20435,453932,430976,5791,208361,297296,201599,125974,45886,3
20233,A,골목상권,3110170,동대부여고,103009554.5,110022669.5,107069429,105169162,106401228.8,124607853,29244,81450434,43157419,16048070,16992959,14285842,16379925,17743638,20923185,22234234,0,24023957,33869823,30250852,28118391,8344830,66090893,58516960,635375,26063694,48573348,24287929,17855584,7191923,19406,9838,3828,4105,3573,3809,4091,4832,5006,0,6274,7627,7037,6478,1828,16441,12803,160,6323,11090,6144,4235,1292,3
20233,A,골목상권,3110740,금천해태공원,10108718.5,11355002.5,13938870.33,11979505,12078118.11,16490008,1474,8690804,7799204,783891,1466057,3070831,1902337,1467688,2525208,5273996,0,1129870,6779219,6045376,2535543,0,4276996,12213012,26234,496866,1431515,1404153,5885164,7246076,858,616,82,157,217,228,174,268,348,0,103,719,489,163,0,558,916,5,83,196,212,471,507,3
20233,A,골목상권,3110833,상도역 2번,4380932,4580234,6453005.333,4156689.5,5066080.778,6617450,761,4188192,2429258,1027358,557872,809898,948600,844464,1012920,1416338,0,113762,1846882,2472138,2003087,181581,2566209,4051241,15574,1209118,1118812,1022248,1403256,1848442,508,253,96,74,114,96,128,100,153,0,8,223,294,210,26,338,423,4,166,226,116,125,124,3
20233,D,발달상권,3120173,교대역(법원.검찰청),4521069398,4933828011,4929828282,4643174332,4776180925,4392941485,584512,3664434449,728507036,730300092,701262133,774185347,718192812,740494065,426044946,302462090,77464851,748062512,1712376937,789088412,793952849,271995924,1636992935,1801668504,42808172,660461288,1008128216,711188820,611770345,404304594,493482,91030,100861,95100,101620,98601,97300,53322,37708,2195,159518,217426,100561,89171,15641,237592,258182,9589,104721,150703,96677,85448,48649,3
20233,D,발달상권,3120217,대치사거리,1050908061,947204277.5,1207088055,1126350388,1096687735,1233855303,185938,865545989,368309314,164527379,160358816,163302270,185727414,191630110,206123375,162185939,282540,286109338,418286310,257424227,237884457,33868431,428139232,725351492,63572269,93465711,192092899,423791480,232029031,148539330,133920,52018,26790,24867,25613,27828,28822,29168,22850,44,51399,55606,36945,36494,5450,72711,104664,13543,18013,34547,66171,40308,4792,3
20233,A,골목상권,3110770,영등포구청역 6번,24000000,24000000,16954841,21542163.5,21105427.78,24000000,1477,14314276,9685724,0,2095210,2183561,2867544,7167961,5082830,4602894,0,15248,8836165,6984321,6856714,1307552,7965679,11069850,139143,6283970,8564372,1606946,1854479,586619,761,716,0,180,186,191,204,370,346,0,3,322,545,527,80,572,879,10,543,624,111,138,24,3
20233,A,골목상권,3110262,상봉역 3번,76468754.5,64962512,63083325.67,88261581,72070630.22,75982487,9083,62408362,13574125,4134288,12779744,25923932,6676829,12893569,9578046,3996079,4434490,3222618,10938195,11754959,30711188,14921037,56066422,16830470,138560,10618398,11835914,10191714,33634185,6478121,6293,2790,925,1291,1313,1277,1487,1831,959,1226,851,1566,1355,2342,1743,5459,3454,49,2057,2769,2205,1067,765,3
20233,R,전통시장,3130321,장신구 특화거리 상점가,10971726,20003860,21095242.5,17092300,17891778.5,21303676,1201,13545305,7758371,1157966,2294220,3427579,3654830,3010710,6397761,1360610,0,0,12372864,7541253,1389559,0,9017658,12286018,0,2945575,13747950,1838270,1476407,1295474,854,347,101,130,174,217,232,304,43,0,0,638,477,86,0,391,810,0,289,683,86,100,43,3
20233,A,골목상권,3110149,세종대학교,0,0,14461488,0,14461488,14461488,1985,9658488,4803000,2384279,1864887,1601911,2255798,1551613,2194563,2608437,0,851255,5915044,3372761,3991111,331317,7449708,5454700,259696,3029417,2873053,2682791,2545562,1513889,1384,601,329,273,241,290,251,278,323,0,131,716,525,553,60,1055,781,49,480,465,333,339,169,3
20233,A,골목상권,3110255,상봉역 4번,57526063.5,57905690.5,64844857.33,53761883,59213538.44,81073330,7902,46350939,34722391,7859153,7896534,11526794,10385696,8682762,17864262,16858129,0,2031699,21502195,25017258,30708154,1814024,30242197,49631564,578936,27315474,19433661,8651968,12174200,11719521,4971,2931,722,880,1224,1070,1075,1552,1379,0,318,2129,2473,2817,165,3112,4674,49,2431,2023,906,1298,1078,3
20233,R,전통시장,3130181,아현가구거리상점가,4624610.5,5483604.5,5332996.667,4807563.5,5092283,5169441,815,1868221,3301220,0,462622,586741,425548,393310,16119,3285101,0,1144466,2417886,1607089,0,0,1904028,2838251,0,543934,1020175,876128,1214601,1087441,291,524,0,58,74,78,81,6,518,0,213,379,223,0,0,339,454,0,101,165,149,200,178,3
20233,D,발달상권,3120243,천호역,1057093657,1351054508,1462789239,1084043385,1263638980,1262713738,199833,859762675,402951063,151919107,180317695,154433976,192562140,180529757,227571873,175379190,6518930,208455106,305374953,326862956,339638247,75863546,540398444,620654718,18855133,326446004,356620689,199263263,168088740,91779336,137305,62528,27490,26500,27033,26753,29529,35217,27311,713,45920,52096,45709,46041,9354,97098,99610,2577,54268,63986,33631,27256,14989,3
20233,A,골목상권,3111064,둔촌동역 4번,33913508,33537059.5,18670676.67,22536399,26220662.56,21634224,2050,18579392,3054832,2063142,5021655,5175186,3867048,2452361,2987513,67319,0,273055,7959888,5285135,8101186,14960,7221973,13598776,179519,3253908,3046698,7247234,2644901,4448488,1730,320,253,408,347,487,235,305,15,0,58,794,502,681,15,746,1268,30,390,267,565,310,452,3
